individual,metric,mean,std,median,iqr,q1,q3
best_fitness,train_rmse,0.014365999999999999,0.0006818716635241866,0.014255,0.0009049999999999996,0.0139925,0.0148975
best_fitness,val_rmse,0.014800333333333334,0.0012217327529129394,0.014695,0.001445,0.0139425,0.0153875
best_fitness,test_rmse,0.014623666666666667,0.0014725663343956366,0.014955,0.0023250000000000007,0.0135575,0.0158825
best_fitness,nodes,12.266666666666667,4.711931541371831,13.0,7.5,7.5,15.0
best_fitness,depth,8.333333333333334,0.9942362632324555,8.0,1.0,8.0,9.0
best_normalized,train_rmse,0.015192333333333332,0.0007874300552773074,0.01507,0.0010649999999999982,0.01476,0.015825
best_normalized,val_rmse,0.015691666666666666,0.0015182523604081956,0.015899999999999997,0.002537499999999998,0.01437,0.0169075
best_normalized,test_rmse,0.015721333333333334,0.001623520511288574,0.015550000000000001,0.0024875,0.01458,0.0170675
best_normalized,nodes,6.2,3.73612375191925,6.0,5.5,3.0,8.5
best_normalized,depth,4.8,2.618238418057665,5.0,5.0,2.0,7.0
smallest,train_rmse,0.015639333333333335,0.0008350673453466897,0.015475,0.0011425000000000012,0.015115,0.0162575
smallest,val_rmse,0.016151000000000006,0.0014528577071555833,0.016125,0.0019275000000000004,0.0152,0.0171275
smallest,test_rmse,0.016264333333333336,0.0017465072205016408,0.01601,0.0023774999999999994,0.01518,0.0175575
smallest,nodes,4.0,2.1495789483460275,3.0,1.5,3.0,4.5
smallest,depth,2.466666666666667,0.7760791522613607,2.0,1.0,2.0,3.0
