TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
64.51505 (34.22375),65.61842 (25.85688),15.49589 (9.48375),13.38979 (6.34049),5.23062 (0.42946),5.26656 (0.39277)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
64.36870 (35.56540),65.12575 (26.05110),15.33024 (9.63372),13.40278 (6.32037),5.26271 (0.39275),5.29925 (0.44905)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (2.00000),4.80000 (3.03315),20.00000 (21.00000),30.43333 (21.04131),133.50000 (23.00000),128.93333 (21.01056)
