TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
706.25412 (74.24040),670.80496 (466.04709),654.17023 (60.15054),619.09574 (446.15688),619.79505 (54.45419),594.01894 (435.21834)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
720.95236 (145.97273),682.92804 (477.37784),638.93103 (136.60505),630.57924 (458.87963),615.82516 (129.00539),604.81289 (446.94977)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
35.00000 (7.50000),37.33333 (11.33908),41.00000 (7.50000),44.26667 (11.63210),53.00000 (11.50000),55.26667 (11.96239)
