TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
1081.12763 (70.42273),958.65629 (577.18352),795.19916 (95.67517),736.56771 (491.54938),631.03904 (49.56467),601.48641 (440.86386)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
1083.82989 (177.22299),975.79717 (589.92131),807.65723 (183.27250),751.41797 (503.51489),622.65265 (127.90379),611.18369 (451.89546)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (12.00000),11.40000 (16.01206),24.00000 (9.50000),28.80000 (15.90792),51.00000 (11.50000),56.66667 (16.63468)
