TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
28.83807 (29.61919),39.93259 (18.83271),27.18933 (1.27957),27.00752 (0.88950),26.43062 (1.26583),26.46471 (0.82702)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
31.47191 (29.46948),41.92190 (18.83754),29.95866 (2.42474),29.86374 (2.33428),29.75474 (2.47832),30.02267 (2.26329)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
27.00000 (1.50000),30.20000 (8.68768),31.00000 (4.00000),35.53333 (9.03531),39.00000 (3.50000),44.13333 (10.04381)
