TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
5.92786 (0.56556),5.91844 (0.44578),5.43656 (0.79014),5.48195 (0.58038),5.28082 (1.23192),5.25661 (0.68132)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
6.39589 (0.98626),6.35764 (0.78198),5.92924 (1.21068),5.92763 (0.74207),5.81715 (1.20067),5.68955 (0.79131)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (0.00000),4.33333 (5.15507),18.00000 (7.50000),19.40000 (9.34252),45.00000 (10.00000),43.93333 (9.36219)
