TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
5.81082 (1.36520),8.46102 (6.87288),5.14206 (0.61580),5.21153 (0.58630),4.83394 (0.53587),4.88085 (0.32817)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
6.61083 (2.09317),8.89302 (6.79297),5.65311 (1.56169),5.77383 (0.99547),5.47843 (1.37116),5.47069 (0.82938)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
29.00000 (8.00000),28.06667 (7.51520),35.00000 (4.00000),35.86667 (6.44731),45.00000 (8.00000),47.80000 (6.44553)
