TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
10.70701 (1.82894),11.17124 (3.20865),6.32639 (1.11864),6.40391 (0.89383),5.07059 (0.60988),5.05155 (0.40189)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
11.06019 (2.67836),11.41329 (3.23472),6.99704 (1.79177),6.79811 (1.28308),5.31723 (0.88844),5.47069 (0.72579)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (0.00000),3.33333 (1.06134),29.00000 (25.75000),31.63333 (15.94059),119.50000 (15.75000),119.00000 (11.52209)
