TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
0.29276 (0.01152),0.29450 (0.01232),0.25998 (0.01008),0.26452 (0.01257),0.24443 (0.01592),0.25034 (0.01739)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
0.29659 (0.03247),0.29775 (0.02197),0.27021 (0.02980),0.26807 (0.01715),0.25527 (0.02049),0.25509 (0.01516)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (0.00000),4.20000 (3.13380),15.00000 (9.00000),16.40000 (6.37127),43.00000 (6.00000),41.93333 (5.37512)
