TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
0.52492 (0.08643),0.52549 (0.07265),0.30900 (0.04211),0.31550 (0.02972),0.26336 (0.02347),0.26488 (0.01390)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
0.53347 (0.10481),0.53625 (0.08057),0.30985 (0.04640),0.31916 (0.03849),0.27092 (0.03084),0.26993 (0.02443)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (0.00000),3.86667 (2.38867),11.00000 (8.00000),13.20000 (5.10172),41.00000 (9.00000),39.13333 (7.48209)
