TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
7.94865 (1.52146),10.24640 (5.03335),7.32448 (0.76224),7.15442 (0.58789),6.99769 (0.72792),6.89968 (0.50955)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
8.82121 (2.19212),10.76562 (4.75999),8.01983 (1.36927),8.09138 (1.08612),7.83533 (1.47602),7.86223 (1.04110)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
30.00000 (15.00000),33.13333 (17.88803),38.00000 (15.00000),42.53333 (18.72990),55.00000 (17.00000),60.13333 (17.70785)
