TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
11.31837 (5.27592),12.57083 (3.39425),8.52844 (1.02201),8.50247 (0.74335),7.34221 (0.44677),7.20886 (0.51425)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
12.62539 (5.11839),13.37824 (3.32500),8.43774 (1.60594),8.80730 (1.53567),7.68619 (1.21187),7.91915 (1.11074)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (1.50000),3.80000 (1.44795),11.00000 (8.00000),13.66667 (7.11159),55.00000 (23.00000),55.80000 (14.88901)
