TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
24.08411 (5.72649),23.43918 (3.82841),23.11172 (5.48187),22.67885 (3.78152),22.37209 (5.54740),22.23482 (3.74092)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
23.59477 (5.46190),23.00268 (3.88591),22.72794 (4.77271),22.20493 (3.84627),22.04623 (4.84976),21.72682 (3.81047)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
33.00000 (7.00000),32.53333 (4.71778),42.00000 (6.00000),41.33333 (3.75393),54.00000 (11.00000),54.86667 (7.16184)
