TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
12.72642 (7.05545),16.70548 (9.51418),9.66120 (1.54750),9.81616 (1.34017),8.51004 (0.72763),8.55024 (0.49516)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
13.51856 (7.38915),16.58003 (9.50411),9.36787 (1.33785),9.73524 (1.54389),8.45099 (0.98910),8.56155 (0.73548)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
28.00000 (11.50000),28.73333 (8.94016),36.00000 (9.50000),36.66667 (7.70281),50.00000 (12.00000),52.00000 (8.61034)
