TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
28.20806 (4.97762),27.99952 (5.45651),13.50926 (1.94735),13.47105 (1.94794),9.03320 (0.62445),9.13187 (0.65250)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
27.06287 (5.86943),27.52752 (5.58273),12.94892 (2.39104),13.42113 (2.13239),9.01070 (0.99687),9.11088 (0.73762)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (1.50000),3.80000 (1.44795),13.00000 (6.00000),13.86667 (6.04998),51.00000 (10.00000),53.26667 (9.79420)
