TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
74.12389 (15.81090),82.43390 (20.89510),69.98370 (4.08671),69.95419 (2.69359),67.05992 (4.41288),67.32312 (2.40176)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
76.21654 (13.48163),85.79212 (23.12260),72.75567 (6.15644),71.90026 (4.50232),70.64701 (5.62843),70.03450 (4.66779)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
76.00000 (21.75000),81.00000 (24.51882),94.00000 (20.75000),96.63333 (24.04232),132.00000 (19.00000),134.50000 (18.67831)
