TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
161.15445 (11.08250),149.34009 (27.89620),77.49304 (3.36677),78.55424 (4.40112),69.79373 (4.07944),69.75594 (2.54908)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
161.91063 (17.97747),151.53021 (29.38505),79.13018 (7.97389),80.53668 (7.06564),72.51089 (5.85982),72.69685 (3.95995)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
5.00000 (12.00000),12.00000 (15.60504),12.00000 (12.00000),20.33333 (16.70295),53.00000 (12.50000),59.06667 (18.40152)
