TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
8.44975 (6.04656),8.06593 (3.19154),8.08559 (5.55278),7.61000 (2.94212),7.82856 (5.22274),7.29113 (2.78065)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
8.16067 (6.15397),8.09053 (3.21901),8.07600 (5.57246),7.62660 (2.97452),7.78299 (5.22592),7.30619 (2.79875)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
32.00000 (7.50000),32.33333 (5.99617),40.00000 (4.00000),39.60000 (6.26209),51.00000 (9.00000),51.80000 (7.76553)
