TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.95787 (0.18695),3.94195 (0.17425),3.64359 (0.34640),3.64802 (0.22800),3.46286 (0.31824),3.49697 (0.29174)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
4.05443 (0.50713),4.00667 (0.34540),3.57994 (0.62385),3.70787 (0.34658),3.53802 (0.59534),3.57174 (0.36528)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (2.00000),4.73333 (2.76597),17.00000 (9.50000),19.06667 (7.90431),45.00000 (11.50000),46.26667 (7.99109)
