TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.84551 (0.70642),4.43861 (1.74775),3.46279 (0.25766),3.55873 (0.25437),3.36723 (0.23443),3.40990 (0.19373)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
4.01903 (0.70220),4.48805 (1.75721),3.63481 (0.55070),3.66402 (0.43997),3.55478 (0.47503),3.53560 (0.34835)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
29.00000 (7.50000),30.73333 (11.91618),37.00000 (6.00000),39.06667 (12.07429),52.00000 (9.50000),53.73333 (13.43678)
