TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
8.29443 (4.53252),7.60622 (2.46624),7.70512 (4.45007),7.21537 (2.37368),7.38301 (4.48790),6.97474 (2.33042)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
7.84289 (4.57049),7.51904 (2.45014),7.27558 (4.38560),7.11088 (2.33604),6.99750 (4.29153),6.86537 (2.28093)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
31.00000 (9.50000),31.46667 (5.95809),39.00000 (9.50000),37.86667 (6.20752),49.00000 (12.00000),49.93333 (7.96082)
