TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
4.25666 (3.07089),6.07283 (4.20610),3.36033 (0.36408),3.42956 (0.34651),3.20772 (0.32764),3.21152 (0.20512)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
4.36337 (3.32624),6.09661 (4.15858),3.30727 (0.53777),3.48120 (0.44369),3.13507 (0.44010),3.24582 (0.29960)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
31.00000 (9.50000),32.26667 (16.54656),36.00000 (7.50000),40.26667 (15.09952),53.00000 (9.50000),55.80000 (14.99977)
