TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
10.62674 (6.92442),10.65812 (4.92974),4.53380 (1.27493),4.56270 (0.80924),3.32932 (0.33853),3.37662 (0.33153)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
10.72952 (6.74487),10.55212 (4.84639),4.44569 (1.00076),4.54094 (0.80292),3.34502 (0.42271),3.41882 (0.37156)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (1.50000),4.06667 (2.44855),11.00000 (5.50000),13.86667 (6.40438),48.00000 (8.00000),49.86667 (7.07952)
