TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
1.33940 (0.06608),1.37255 (0.11655),1.32023 (0.06184),1.32470 (0.04452),1.30916 (0.05838),1.31392 (0.04565)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
1.46956 (0.17890),1.69364 (1.32919),1.44169 (0.16079),1.67382 (1.33470),1.44162 (0.16076),1.68071 (1.33388)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
82.00000 (12.50000),83.06667 (15.69303),97.50000 (12.00000),102.00000 (16.44217),126.00000 (10.00000),130.80000 (16.31458)
