TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
1.39325 (0.06718),1.39827 (0.04901),1.35209 (0.07788),1.35611 (0.04732),1.32566 (0.06712),1.32775 (0.04323)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
1.40774 (0.14299),1.64749 (1.33607),1.41685 (0.14156),1.64904 (1.33533),1.40993 (0.12227),1.65955 (1.33472)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (1.50000),4.73333 (3.70399),47.00000 (24.25000),52.00000 (15.95900),122.00000 (4.00000),122.90000 (4.80194)
