TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
0.01433 (0.00108),0.08084 (0.36242),0.01376 (0.00072),0.01381 (0.00055),0.01361 (0.00072),0.01368 (0.00052)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
0.01488 (0.00208),0.08114 (0.36213),0.01453 (0.00176),0.01425 (0.00113),0.01438 (0.00159),0.01412 (0.00108)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
25.00000 (10.00000),27.80000 (5.32010),32.00000 (9.50000),33.26667 (5.98235),52.00000 (11.50000),51.20000 (9.19295)
