TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
10.36769 (3.83075),14.74419 (8.11694),10.21122 (0.19595),10.20306 (0.16618),10.13423 (0.19662),10.13540 (0.13437)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
10.38957 (3.72062),14.76217 (8.12286),10.27905 (0.28084),10.26210 (0.21579),10.21133 (0.23715),10.19441 (0.18135)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
73.00000 (16.50000),74.26667 (14.97339),96.00000 (18.00000),91.96667 (18.12692),124.00000 (13.50000),124.90000 (12.02397)
