TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
14.17840 (4.50204),17.51314 (7.07727),10.58896 (0.36197),10.67540 (0.63217),10.18331 (0.27307),10.16365 (0.15668)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
14.24500 (4.80981),17.43528 (6.97177),10.53800 (0.26997),10.66663 (0.57962),10.25437 (0.22743),10.21155 (0.20539)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (1.50000),4.40000 (3.15791),11.00000 (6.00000),11.46667 (5.74596),45.00000 (6.00000),45.40000 (5.88159)
