TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
26.29060 (3.74151),35.16508 (20.07626),23.24331 (2.04941),23.24759 (1.49123),22.16724 (2.09839),22.36224 (1.38022)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
30.62960 (11.28932),38.47075 (18.94032),29.20606 (7.10661),29.47756 (4.71382),29.97278 (6.44803),29.76209 (4.37028)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
27.00000 (4.00000),33.80000 (18.08486),31.00000 (4.00000),39.33333 (18.05802),39.00000 (4.00000),47.20000 (18.45292)
