TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
40.18301 (8.32475),42.76338 (10.34045),27.35675 (2.54197),27.39914 (1.81974),23.31236 (1.69031),23.17639 (1.28238)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
42.09846 (9.12640),44.54253 (9.85230),31.76226 (5.45126),32.03851 (5.18468),30.46778 (5.56981),30.52958 (4.42900)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (3.00000),5.00000 (5.33046),11.00000 (8.00000),14.73333 (7.78563),39.00000 (0.00000),40.40000 (5.38581)
