TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
85.10263 (24.01556),88.57498 (24.04823),75.18346 (16.19943),73.58948 (15.11440),73.14989 (14.63424),70.73033 (14.31089)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
98.13951 (21.02660),95.23670 (26.70154),86.99241 (32.01614),81.66829 (25.65247),83.01032 (34.23876),79.67587 (25.38479)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
81.00000 (13.00000),74.73333 (11.97104),94.00000 (13.00000),91.16667 (11.22830),122.00000 (2.00000),121.03333 (4.63483)
