TRAINING RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
118.45343 (28.99433),126.33115 (31.34589),91.77735 (23.64656),89.81544 (20.13775),80.34795 (16.01377),75.72844 (15.38536)

TEST RESULTS
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
130.74680 (27.80703),132.10529 (34.17507),104.50417 (32.91019),96.96307 (27.58976),90.49274 (35.78095),83.55507 (24.83422)

SIZE (Number of Nodes)
Smallest Model,,Optimal Compromise,,Best Fitness,
Median (IQR),Mean (STD),Median (IQR),Mean (STD),Median (IQR),Mean (STD)
3.00000 (0.00000),3.86667 (2.44573),42.00000 (13.00000),38.06667 (13.95543),120.00000 (1.50000),118.06667 (7.82539)
