dataset,individual,run,fitness,size
airfoil,best_fitness,0,3.626075506210327,55
airfoil,best_fitness,1,4.990715503692627,39
airfoil,best_fitness,2,4.712406158447266,43
airfoil,best_fitness,3,4.803002834320068,41
airfoil,best_fitness,4,4.520092487335205,93
airfoil,best_fitness,5,4.745779514312744,49
airfoil,best_fitness,6,5.083446025848389,45
airfoil,best_fitness,7,4.820465564727783,69
airfoil,best_fitness,8,4.774734973907471,55
airfoil,best_fitness,9,5.572281360626221,37
airfoil,best_fitness,10,5.419363021850586,47
airfoil,best_fitness,11,5.320896625518799,51
airfoil,best_fitness,12,4.336056709289551,55
airfoil,best_fitness,13,5.138269424438477,69
airfoil,best_fitness,14,5.179757595062256,61
airfoil,best_fitness,15,4.646315574645996,49
airfoil,best_fitness,16,4.531712055206299,77
airfoil,best_fitness,17,5.218521595001221,51
airfoil,best_fitness,18,4.748695373535156,67
airfoil,best_fitness,19,6.267716407775879,67
airfoil,best_fitness,20,4.861710548400879,71
airfoil,best_fitness,21,4.9627299308776855,49
airfoil,best_fitness,22,4.890903472900391,55
airfoil,best_fitness,23,4.807758331298828,57
airfoil,best_fitness,24,4.719454765319824,51
airfoil,best_fitness,25,4.737234115600586,35
airfoil,best_fitness,26,5.1418304443359375,43
airfoil,best_fitness,27,5.868342876434326,45
airfoil,best_fitness,28,4.741948127746582,107
airfoil,best_fitness,29,5.721104145050049,79
airfoil,best_size,0,6.677422046661377,3
airfoil,best_size,1,5.6658759117126465,3
airfoil,best_size,2,6.644321441650391,5
airfoil,best_size,3,5.3435587882995605,11
airfoil,best_size,4,5.062450885772705,31
airfoil,best_size,5,5.425100326538086,3
airfoil,best_size,6,5.25396728515625,11
airfoil,best_size,7,5.553915023803711,11
airfoil,best_size,8,5.689638614654541,7
airfoil,best_size,9,5.682297706604004,3
airfoil,best_size,10,5.851171493530273,5
airfoil,best_size,11,5.8384270668029785,3
airfoil,best_size,12,5.627397060394287,9
airfoil,best_size,13,5.617696285247803,3
airfoil,best_size,14,5.25584077835083,15
airfoil,best_size,15,5.8298211097717285,7
airfoil,best_size,16,5.757466793060303,3
airfoil,best_size,17,5.728170394897461,3
airfoil,best_size,18,5.51069974899292,15
airfoil,best_size,19,6.47067928314209,15
airfoil,best_size,20,5.915804862976074,5
airfoil,best_size,21,5.1018242835998535,5
airfoil,best_size,22,6.086147785186768,3
airfoil,best_size,23,5.8785481452941895,15
airfoil,best_size,24,6.02951717376709,7
airfoil,best_size,25,5.229023456573486,3
airfoil,best_size,26,5.689995765686035,3
airfoil,best_size,27,6.431694507598877,11
airfoil,best_size,28,6.123207092285156,63
airfoil,best_size,29,5.9016008377075195,31
airfoil,optimal_compromise,0,5.012249946594238,15
airfoil,optimal_compromise,1,5.1159868240356445,21
airfoil,optimal_compromise,2,5.769428253173828,7
airfoil,optimal_compromise,3,4.847784042358398,29
airfoil,optimal_compromise,4,4.810223579406738,53
airfoil,optimal_compromise,5,5.188100814819336,13
airfoil,optimal_compromise,6,5.147040843963623,25
airfoil,optimal_compromise,7,4.950281143188477,43
airfoil,optimal_compromise,8,4.8930487632751465,19
airfoil,optimal_compromise,9,5.733590126037598,17
airfoil,optimal_compromise,10,5.591010093688965,21
airfoil,optimal_compromise,11,5.446767807006836,23
airfoil,optimal_compromise,12,4.587488174438477,29
airfoil,optimal_compromise,13,5.226762294769287,15
airfoil,optimal_compromise,14,5.196828365325928,33
airfoil,optimal_compromise,15,4.686142444610596,21
airfoil,optimal_compromise,16,5.003355026245117,21
airfoil,optimal_compromise,17,5.3460259437561035,29
airfoil,optimal_compromise,18,4.826838493347168,53
airfoil,optimal_compromise,19,6.342507362365723,45
airfoil,optimal_compromise,20,4.988701820373535,23
airfoil,optimal_compromise,21,5.0744309425354,23
airfoil,optimal_compromise,22,5.21273136138916,27
airfoil,optimal_compromise,23,5.014313697814941,31
airfoil,optimal_compromise,24,5.025217533111572,19
airfoil,optimal_compromise,25,4.871613502502441,19
airfoil,optimal_compromise,26,5.255636692047119,21
airfoil,optimal_compromise,27,6.083520412445068,23
airfoil,optimal_compromise,28,4.953701496124268,89
airfoil,optimal_compromise,29,5.7434306144714355,49
bike_sharing,best_fitness,0,410.9910888671875,41
bike_sharing,best_fitness,1,0.13944317400455475,51
bike_sharing,best_fitness,2,0.0,9
bike_sharing,best_fitness,3,0.0,9
bike_sharing,best_fitness,4,0.0009649712592363358,3
bike_sharing,best_fitness,5,2.5256526896555442e-06,9
bike_sharing,best_fitness,6,392.9555358886719,39
bike_sharing,best_fitness,7,396.3111267089844,51
bike_sharing,best_fitness,8,448.4256286621094,51
bike_sharing,best_fitness,9,397.62261962890625,51
bike_sharing,best_fitness,10,431.99420166015625,79
bike_sharing,best_fitness,11,427.738037109375,81
bike_sharing,best_fitness,12,380.6016540527344,47
bike_sharing,best_fitness,13,0.0005787438130937517,3
bike_sharing,best_fitness,14,358.0308532714844,53
bike_sharing,best_fitness,15,460.3944091796875,49
bike_sharing,best_fitness,16,3.3423819541931152,59
bike_sharing,best_fitness,17,427.1041259765625,43
bike_sharing,best_fitness,18,514.8345336914062,49
bike_sharing,best_fitness,19,400.78900146484375,43
bike_sharing,best_fitness,20,451.84649658203125,61
bike_sharing,best_fitness,21,463.2005310058594,49
bike_sharing,best_fitness,22,0.0,3
bike_sharing,best_fitness,23,364.355224609375,47
bike_sharing,best_fitness,24,362.54443359375,43
bike_sharing,best_fitness,25,382.59967041015625,55
bike_sharing,best_fitness,26,358.9274597167969,49
bike_sharing,best_fitness,27,401.66546630859375,49
bike_sharing,best_fitness,28,441.31158447265625,49
bike_sharing,best_fitness,29,249.22947692871094,47
bike_sharing,best_size,0,607.5891723632812,5
bike_sharing,best_size,1,0.4785875082015991,15
bike_sharing,best_size,2,0.4003109037876129,5
bike_sharing,best_size,3,0.0006120214820839465,5
bike_sharing,best_size,4,0.0009649712592363358,3
bike_sharing,best_size,5,0.0004577497311402112,5
bike_sharing,best_size,6,610.7609252929688,3
bike_sharing,best_size,7,579.9900512695312,3
bike_sharing,best_size,8,711.6083984375,3
bike_sharing,best_size,9,594.8990478515625,3
bike_sharing,best_size,10,590.0888671875,31
bike_sharing,best_size,11,629.5870361328125,31
bike_sharing,best_size,12,527.9678344726562,3
bike_sharing,best_size,13,0.0005787438130937517,3
bike_sharing,best_size,14,642.3850708007812,7
bike_sharing,best_size,15,651.2039794921875,3
bike_sharing,best_size,16,7.257582187652588,15
bike_sharing,best_size,17,622.53564453125,3
bike_sharing,best_size,18,666.643798828125,7
bike_sharing,best_size,19,577.0272827148438,3
bike_sharing,best_size,20,684.1658935546875,3
bike_sharing,best_size,21,719.0991821289062,3
bike_sharing,best_size,22,0.0,3
bike_sharing,best_size,23,519.9022216796875,15
bike_sharing,best_size,24,580.5257568359375,3
bike_sharing,best_size,25,618.21240234375,15
bike_sharing,best_size,26,548.7769165039062,3
bike_sharing,best_size,27,648.4334716796875,3
bike_sharing,best_size,28,665.41552734375,3
bike_sharing,best_size,29,426.68878173828125,7
bike_sharing,optimal_compromise,0,472.3435363769531,21
bike_sharing,optimal_compromise,1,0.17048996686935425,23
bike_sharing,optimal_compromise,2,0.4003109037876129,5
bike_sharing,optimal_compromise,3,0.0006120214820839465,5
bike_sharing,optimal_compromise,4,0.0009649712592363358,3
bike_sharing,optimal_compromise,5,0.0004577497311402112,5
bike_sharing,optimal_compromise,6,503.9348449707031,13
bike_sharing,optimal_compromise,7,430.4921875,23
bike_sharing,optimal_compromise,8,565.7938232421875,15
bike_sharing,optimal_compromise,9,463.674560546875,19
bike_sharing,optimal_compromise,10,457.9258117675781,59
bike_sharing,optimal_compromise,11,499.58026123046875,49
bike_sharing,optimal_compromise,12,431.6401672363281,15
bike_sharing,optimal_compromise,13,0.0005787438130937517,3
bike_sharing,optimal_compromise,14,417.4137878417969,27
bike_sharing,optimal_compromise,15,549.0294189453125,19
bike_sharing,optimal_compromise,16,5.176224231719971,37
bike_sharing,optimal_compromise,17,502.958251953125,13
bike_sharing,optimal_compromise,18,561.6373901367188,19
bike_sharing,optimal_compromise,19,481.30706787109375,11
bike_sharing,optimal_compromise,20,554.297607421875,15
bike_sharing,optimal_compromise,21,555.5625,19
bike_sharing,optimal_compromise,22,0.0,3
bike_sharing,optimal_compromise,23,409.8954772949219,29
bike_sharing,optimal_compromise,24,376.883056640625,23
bike_sharing,optimal_compromise,25,497.3246765136719,27
bike_sharing,optimal_compromise,26,399.756103515625,29
bike_sharing,optimal_compromise,27,488.1246337890625,23
bike_sharing,optimal_compromise,28,519.524658203125,21
bike_sharing,optimal_compromise,29,302.8892822265625,27
bioavailability,best_fitness,0,30.04507064819336,51
bioavailability,best_fitness,1,30.620803833007812,67
bioavailability,best_fitness,2,27.854413986206055,41
bioavailability,best_fitness,3,30.53615379333496,95
bioavailability,best_fitness,4,31.701242446899414,67
bioavailability,best_fitness,5,34.07050704956055,43
bioavailability,best_fitness,6,28.78786849975586,41
bioavailability,best_fitness,7,30.774045944213867,41
bioavailability,best_fitness,8,32.693336486816406,39
bioavailability,best_fitness,9,31.845901489257812,43
bioavailability,best_fitness,10,32.94547653198242,39
bioavailability,best_fitness,11,30.99675750732422,27
bioavailability,best_fitness,12,28.685606002807617,39
bioavailability,best_fitness,13,36.508209228515625,45
bioavailability,best_fitness,14,32.06405258178711,39
bioavailability,best_fitness,15,33.36259078979492,39
bioavailability,best_fitness,16,28.77650260925293,103
bioavailability,best_fitness,17,31.867490768432617,99
bioavailability,best_fitness,18,32.250938415527344,39
bioavailability,best_fitness,19,29.85356903076172,39
bioavailability,best_fitness,20,34.32537841796875,35
bioavailability,best_fitness,21,30.621679306030273,51
bioavailability,best_fitness,22,34.13968276977539,99
bioavailability,best_fitness,23,29.222909927368164,99
bioavailability,best_fitness,24,33.42030334472656,39
bioavailability,best_fitness,25,34.96077346801758,51
bioavailability,best_fitness,26,28.265640258789062,41
bioavailability,best_fitness,27,26.090789794921875,39
bioavailability,best_fitness,28,30.188486099243164,41
bioavailability,best_fitness,29,31.327836990356445,39
bioavailability,best_size,0,31.079288482666016,15
bioavailability,best_size,1,30.8695011138916,31
bioavailability,best_size,2,29.15607452392578,3
bioavailability,best_size,3,30.51723289489746,63
bioavailability,best_size,4,28.50007438659668,31
bioavailability,best_size,5,35.748878479003906,15
bioavailability,best_size,6,30.009811401367188,3
bioavailability,best_size,7,29.461252212524414,3
bioavailability,best_size,8,32.13935470581055,3
bioavailability,best_size,9,30.387351989746094,3
bioavailability,best_size,10,31.75372314453125,3
bioavailability,best_size,11,31.742021560668945,7
bioavailability,best_size,12,34.213035583496094,3
bioavailability,best_size,13,36.63251495361328,7
bioavailability,best_size,14,31.660558700561523,3
bioavailability,best_size,15,31.70612335205078,3
bioavailability,best_size,16,30.537561416625977,63
bioavailability,best_size,17,30.618444442749023,63
bioavailability,best_size,18,27.835391998291016,3
bioavailability,best_size,19,27.568166732788086,3
bioavailability,best_size,20,33.606719970703125,3
bioavailability,best_size,21,31.88597297668457,3
bioavailability,best_size,22,33.7537956237793,63
bioavailability,best_size,23,28.841821670532227,63
bioavailability,best_size,24,31.736038208007812,3
bioavailability,best_size,25,32.24140548706055,15
bioavailability,best_size,26,27.7467098236084,3
bioavailability,best_size,27,28.233671188354492,3
bioavailability,best_size,28,30.368988037109375,3
bioavailability,best_size,29,31.591312408447266,3
bioavailability,optimal_compromise,0,30.081727981567383,27
bioavailability,optimal_compromise,1,31.292125701904297,39
bioavailability,optimal_compromise,2,28.189735412597656,21
bioavailability,optimal_compromise,3,29.226154327392578,75
bioavailability,optimal_compromise,4,29.223777770996094,43
bioavailability,optimal_compromise,5,34.00832748413086,35
bioavailability,optimal_compromise,6,28.695789337158203,15
bioavailability,optimal_compromise,7,30.768299102783203,19
bioavailability,optimal_compromise,8,32.388084411621094,19
bioavailability,optimal_compromise,9,31.64950180053711,27
bioavailability,optimal_compromise,10,32.302696228027344,15
bioavailability,optimal_compromise,11,31.644742965698242,15
bioavailability,optimal_compromise,12,28.909225463867188,19
bioavailability,optimal_compromise,13,37.79720687866211,23
bioavailability,optimal_compromise,14,32.96017837524414,19
bioavailability,optimal_compromise,15,32.300636291503906,11
bioavailability,optimal_compromise,16,29.851654052734375,83
bioavailability,optimal_compromise,17,30.88807487487793,83
bioavailability,optimal_compromise,18,30.978418350219727,11
bioavailability,optimal_compromise,19,29.222570419311523,15
bioavailability,optimal_compromise,20,34.22867965698242,27
bioavailability,optimal_compromise,21,30.68048667907715,35
bioavailability,optimal_compromise,22,33.08615493774414,79
bioavailability,optimal_compromise,23,29.533336639404297,75
bioavailability,optimal_compromise,24,31.176773071289062,23
bioavailability,optimal_compromise,25,33.39539337158203,31
bioavailability,optimal_compromise,26,28.036745071411133,13
bioavailability,optimal_compromise,27,26.56793785095215,15
bioavailability,optimal_compromise,28,30.277664184570312,21
bioavailability,optimal_compromise,29,29.9679012298584,19
boston,best_fitness,0,5.431521415710449,45
boston,best_fitness,1,3.6187942028045654,29
boston,best_fitness,2,5.540444850921631,47
boston,best_fitness,3,3.9031403064727783,41
