dataset,individual,run,fitness,size
airfoil,best_fitness,0,5.339766979217529,51
airfoil,best_fitness,1,5.368154048919678,59
airfoil,best_fitness,2,4.415063858032227,35
airfoil,best_fitness,3,5.268968105316162,87
airfoil,best_fitness,4,4.242345809936523,65
airfoil,best_fitness,5,5.157317638397217,49
airfoil,best_fitness,6,5.225999355316162,63
airfoil,best_fitness,7,4.033300876617432,51
airfoil,best_fitness,8,5.027397155761719,59
airfoil,best_fitness,9,5.488508701324463,69
airfoil,best_fitness,10,5.581338882446289,69
airfoil,best_fitness,11,4.451759338378906,37
airfoil,best_fitness,12,4.026210784912109,57
airfoil,best_fitness,13,5.388490676879883,81
airfoil,best_fitness,14,5.2527594566345215,65
airfoil,best_fitness,15,5.505687236785889,53
airfoil,best_fitness,16,5.547967910766602,61
airfoil,best_fitness,17,4.48556661605835,59
airfoil,best_fitness,18,5.489946365356445,69
airfoil,best_fitness,19,4.045858860015869,71
airfoil,best_fitness,20,5.62443208694458,37
airfoil,best_fitness,21,5.100205898284912,57
airfoil,best_fitness,22,4.596792221069336,27
airfoil,best_fitness,23,4.456334590911865,63
airfoil,best_fitness,24,5.22355842590332,69
airfoil,best_fitness,25,4.062482833862305,57
airfoil,best_fitness,26,5.4338860511779785,59
airfoil,best_fitness,27,4.475465774536133,43
airfoil,best_fitness,28,5.815345764160156,105
airfoil,best_fitness,29,5.70471715927124,53
airfoil,best_size,0,5.564281940460205,9
airfoil,best_size,1,5.6658759117126465,3
airfoil,best_size,2,5.769428253173828,7
airfoil,best_size,3,5.3435587882995605,11
airfoil,best_size,4,4.208667278289795,13
airfoil,best_size,5,5.425100326538086,3
airfoil,best_size,6,5.25396728515625,11
airfoil,best_size,7,6.186010837554932,3
airfoil,best_size,8,5.689638614654541,7
airfoil,best_size,9,5.682297706604004,3
airfoil,best_size,10,5.851171493530273,5
airfoil,best_size,11,5.8384270668029785,3
airfoil,best_size,12,5.627397060394287,9
airfoil,best_size,13,5.617696285247803,3
airfoil,best_size,14,5.25584077835083,15
airfoil,best_size,15,5.8298211097717285,7
airfoil,best_size,16,5.757466793060303,3
airfoil,best_size,17,5.728170394897461,3
airfoil,best_size,18,5.51069974899292,15
airfoil,best_size,19,6.7633490562438965,7
airfoil,best_size,20,5.915804862976074,5
airfoil,best_size,21,5.1018242835998535,5
airfoil,best_size,22,6.086147785186768,3
airfoil,best_size,23,5.8785481452941895,15
airfoil,best_size,24,6.02951717376709,7
airfoil,best_size,25,5.229023456573486,3
airfoil,best_size,26,5.689995765686035,3
airfoil,best_size,27,7.014228343963623,3
airfoil,best_size,28,6.123207092285156,55
airfoil,best_size,29,5.876972198486328,13
airfoil,optimal_compromise,0,5.4153618812561035,33
airfoil,optimal_compromise,1,5.469841957092285,39
airfoil,optimal_compromise,2,4.486367225646973,23
airfoil,optimal_compromise,3,5.307375907897949,41
airfoil,optimal_compromise,4,4.368999004364014,47
airfoil,optimal_compromise,5,5.290052890777588,25
airfoil,optimal_compromise,6,5.237597942352295,35
airfoil,optimal_compromise,7,4.652588367462158,11
airfoil,optimal_compromise,8,5.377240180969238,23
airfoil,optimal_compromise,9,5.569851398468018,27
airfoil,optimal_compromise,10,5.656092166900635,39
airfoil,optimal_compromise,11,5.159915447235107,9
airfoil,optimal_compromise,12,4.526093482971191,17
airfoil,optimal_compromise,13,5.4560441970825195,47
airfoil,optimal_compromise,14,5.254336357116699,43
airfoil,optimal_compromise,15,5.608325004577637,33
airfoil,optimal_compromise,16,5.60237979888916,33
airfoil,optimal_compromise,17,5.373781204223633,9
airfoil,optimal_compromise,18,5.495881080627441,45
airfoil,optimal_compromise,19,5.269382476806641,25
airfoil,optimal_compromise,20,5.776533126831055,19
airfoil,optimal_compromise,21,5.100784778594971,25
