dataset,individual,run,fitness,size
airfoil,best_fitness,0,3.962742567062378,93
airfoil,best_fitness,1,4.262228965759277,87
airfoil,best_fitness,2,4.20859956741333,81
airfoil,best_fitness,3,3.8950159549713135,77
airfoil,best_fitness,4,3.9159252643585205,59
airfoil,best_fitness,5,4.176774978637695,69
airfoil,best_fitness,6,3.6020004749298096,59
airfoil,best_fitness,7,3.8336470127105713,47
airfoil,best_fitness,8,4.1668829917907715,85
airfoil,best_fitness,9,4.165704250335693,101
airfoil,best_fitness,10,4.192617893218994,65
airfoil,best_fitness,11,4.067126750946045,59
airfoil,best_fitness,12,3.912166118621826,65
airfoil,best_fitness,13,4.0891432762146,63
airfoil,best_fitness,14,4.870018005371094,89
airfoil,best_fitness,15,4.226309776306152,73
airfoil,best_fitness,16,4.962493419647217,55
airfoil,best_fitness,17,3.980679988861084,73
airfoil,best_fitness,18,3.9935050010681152,53
airfoil,best_fitness,19,3.944545030593872,83
airfoil,best_fitness,20,4.04216194152832,79
airfoil,best_fitness,21,3.450467348098755,79
airfoil,best_fitness,22,3.9375462532043457,61
airfoil,best_fitness,23,4.378459930419922,89
airfoil,best_fitness,24,4.343445301055908,63
airfoil,best_fitness,25,3.72387957572937,57
airfoil,best_fitness,26,4.241182804107666,57
airfoil,best_fitness,27,3.9532127380371094,77
airfoil,best_fitness,28,4.264155387878418,55
airfoil,best_fitness,29,4.194281101226807,77
airfoil,best_size,0,4.081388473510742,55
airfoil,best_size,1,4.731778621673584,35
airfoil,best_size,2,4.417169570922852,45
airfoil,best_size,3,4.6927876472473145,43
airfoil,best_size,4,4.306825160980225,25
airfoil,best_size,5,4.479261875152588,23
airfoil,best_size,6,4.596454620361328,39
airfoil,best_size,7,5.047219276428223,25
airfoil,best_size,8,4.880722522735596,43
airfoil,best_size,9,4.626683712005615,55
airfoil,best_size,10,4.9256367683410645,31
airfoil,best_size,11,4.449033260345459,27
airfoil,best_size,12,4.034750938415527,39
airfoil,best_size,13,4.619831562042236,45
airfoil,best_size,14,5.003072738647461,57
airfoil,best_size,15,4.311061859130859,47
airfoil,best_size,16,5.922856330871582,25
airfoil,best_size,17,4.4031171798706055,37
airfoil,best_size,18,4.3057661056518555,33
airfoil,best_size,19,4.169966697692871,35
airfoil,best_size,20,4.785033226013184,49
airfoil,best_size,21,4.155858516693115,55
airfoil,best_size,22,4.469196319580078,27
airfoil,best_size,23,5.025985240936279,51
airfoil,best_size,24,5.282444000244141,31
airfoil,best_size,25,5.118432998657227,31
airfoil,best_size,26,6.814933776855469,9
airfoil,best_size,27,4.6471781730651855,51
airfoil,best_size,28,6.779858112335205,11
airfoil,best_size,29,4.947079658508301,43
airfoil,optimal_compromise,0,3.9627387523651123,69
airfoil,optimal_compromise,1,4.422628402709961,67
airfoil,optimal_compromise,2,4.282578945159912,53
airfoil,optimal_compromise,3,4.148492336273193,57
airfoil,optimal_compromise,4,4.312166213989258,47
airfoil,optimal_compromise,5,4.2686052322387695,35
airfoil,optimal_compromise,6,3.8610341548919678,47
airfoil,optimal_compromise,7,4.4499125480651855,35
airfoil,optimal_compromise,8,4.188196182250977,57
airfoil,optimal_compromise,9,4.25128698348999,73
airfoil,optimal_compromise,10,4.4441304206848145,41
airfoil,optimal_compromise,11,4.046124458312988,43
airfoil,optimal_compromise,12,3.9466493129730225,51
airfoil,optimal_compromise,13,4.213797569274902,49
airfoil,optimal_compromise,14,4.895975589752197,73
airfoil,optimal_compromise,15,4.323264122009277,57
airfoil,optimal_compromise,16,5.294790744781494,39
airfoil,optimal_compromise,17,4.173885345458984,51
airfoil,optimal_compromise,18,4.244062900543213,43
airfoil,optimal_compromise,19,4.033651828765869,45
airfoil,optimal_compromise,20,4.171405792236328,65
airfoil,optimal_compromise,21,3.5325441360473633,67
airfoil,optimal_compromise,22,4.0242533683776855,45
airfoil,optimal_compromise,23,4.776076793670654,59
airfoil,optimal_compromise,24,4.792250156402588,43
airfoil,optimal_compromise,25,4.065268039703369,41
airfoil,optimal_compromise,26,4.6913909912109375,33
airfoil,optimal_compromise,27,4.3600544929504395,59
airfoil,optimal_compromise,28,4.551191806793213,33
airfoil,optimal_compromise,29,4.2957444190979,53
bike_sharing,best_fitness,0,0.08686036616563797,43
bike_sharing,best_fitness,1,0.027730034664273262,31
bike_sharing,best_fitness,2,0.0006297541549429297,13
bike_sharing,best_fitness,3,0.0006115418509580195,23
bike_sharing,best_fitness,4,0.0009649712592363358,3
bike_sharing,best_fitness,5,0.0004577497311402112,5
bike_sharing,best_fitness,6,1.0836669206619263,47
bike_sharing,best_fitness,7,0.15316703915596008,45
bike_sharing,best_fitness,8,9.740618705749512,57
bike_sharing,best_fitness,9,0.023309990763664246,33
bike_sharing,best_fitness,10,0.021014532074332237,41
bike_sharing,best_fitness,11,0.26247280836105347,57
bike_sharing,best_fitness,12,10.321474075317383,49
bike_sharing,best_fitness,13,0.0005787438130937517,3
bike_sharing,best_fitness,14,11.285680770874023,49
bike_sharing,best_fitness,15,32.290916442871094,49
bike_sharing,best_fitness,16,3.6580312252044678,71
bike_sharing,best_fitness,17,0.030592478811740875,49
bike_sharing,best_fitness,18,0.49372944235801697,63
bike_sharing,best_fitness,19,0.13541279733181,49
bike_sharing,best_fitness,20,2.4665095806121826,7
bike_sharing,best_fitness,21,26.51032257080078,57
bike_sharing,best_fitness,22,0.0,3
bike_sharing,best_fitness,23,26.655153274536133,55
bike_sharing,best_fitness,24,0.07506505399942398,47
bike_sharing,best_fitness,25,0.6786110401153564,47
bike_sharing,best_fitness,26,7.9574103355407715,49
bike_sharing,best_fitness,27,0.15072622895240784,49
bike_sharing,best_fitness,28,0.17745330929756165,45
bike_sharing,best_fitness,29,0.14989176392555237,49
bike_sharing,best_size,0,71.01665496826172,31
bike_sharing,best_size,1,0.16543586552143097,23
bike_sharing,best_size,2,0.0006297541549429297,13
bike_sharing,best_size,3,0.0006120214820839465,9
bike_sharing,best_size,4,0.0009649712592363358,3
bike_sharing,best_size,5,0.0004577497311402112,5
bike_sharing,best_size,6,226.43923950195312,23
bike_sharing,best_size,7,144.56903076171875,29
bike_sharing,best_size,8,87.23411560058594,35
bike_sharing,best_size,9,197.97509765625,27
bike_sharing,best_size,10,227.22872924804688,23
bike_sharing,best_size,11,154.7565460205078,35
bike_sharing,best_size,12,123.88488006591797,35
bike_sharing,best_size,13,0.0005787438130937517,3
bike_sharing,best_size,14,236.07745361328125,33
bike_sharing,best_size,15,99.9187240600586,17
bike_sharing,best_size,16,5.053315162658691,53
bike_sharing,best_size,17,65.92029571533203,33
bike_sharing,best_size,18,172.94271850585938,41
bike_sharing,best_size,19,69.13675689697266,31
bike_sharing,best_size,20,4217.94921875,3
bike_sharing,best_size,21,266.1482238769531,25
bike_sharing,best_size,22,0.0,3
bike_sharing,best_size,23,127.00849914550781,33
bike_sharing,best_size,24,50.656951904296875,35
bike_sharing,best_size,25,94.9053726196289,29
bike_sharing,best_size,26,145.55873107910156,33
bike_sharing,best_size,27,140.29544067382812,29
bike_sharing,best_size,28,164.88162231445312,31
bike_sharing,best_size,29,80.8843765258789,33
bike_sharing,optimal_compromise,0,0.2581935524940491,41
bike_sharing,optimal_compromise,1,0.16543586552143097,23
bike_sharing,optimal_compromise,2,0.0006297541549429297,13
bike_sharing,optimal_compromise,3,0.0006120214820839465,9
bike_sharing,optimal_compromise,4,0.0009649712592363358,3
bike_sharing,optimal_compromise,5,0.0004577497311402112,5
bike_sharing,optimal_compromise,6,76.94747924804688,35
bike_sharing,optimal_compromise,7,7.958524703979492,37
bike_sharing,optimal_compromise,8,14.410306930541992,47
bike_sharing,optimal_compromise,9,76.22334289550781,29
bike_sharing,optimal_compromise,10,70.76793670654297,31
bike_sharing,optimal_compromise,11,74.06829833984375,43
bike_sharing,optimal_compromise,12,13.332977294921875,41
bike_sharing,optimal_compromise,13,0.0005787438130937517,3
bike_sharing,optimal_compromise,14,83.10820770263672,39
bike_sharing,optimal_compromise,15,62.383758544921875,27
bike_sharing,optimal_compromise,16,4.1257171630859375,55
bike_sharing,optimal_compromise,17,0.03193821758031845,41
bike_sharing,optimal_compromise,18,56.91080093383789,49
bike_sharing,optimal_compromise,19,0.18363511562347412,41
bike_sharing,optimal_compromise,20,4217.94921875,3
bike_sharing,optimal_compromise,21,92.04571533203125,35
bike_sharing,optimal_compromise,22,0.0,3
