dataset,individual,run,fitness,size
airfoil,best_fitness,0,4.18804931640625,53
airfoil,best_fitness,1,5.176571846008301,45
airfoil,best_fitness,2,4.7969183921813965,61
airfoil,best_fitness,3,4.731441497802734,51
airfoil,best_fitness,4,4.763638973236084,73
airfoil,best_fitness,5,5.078380107879639,33
airfoil,best_fitness,6,4.728536128997803,75
airfoil,best_fitness,7,4.889863967895508,61
airfoil,best_fitness,8,5.357132434844971,59
airfoil,best_fitness,9,5.322995662689209,71
airfoil,best_fitness,10,4.6204400062561035,47
airfoil,best_fitness,11,5.2973222732543945,43
airfoil,best_fitness,12,3.9441609382629395,41
airfoil,best_fitness,13,5.16251277923584,39
airfoil,best_fitness,14,5.184622764587402,71
airfoil,best_size,0,5.012249946594238,7
airfoil,best_size,1,5.665876388549805,3
airfoil,best_size,2,6.644321441650391,5
airfoil,best_size,3,5.34356164932251,11
airfoil,best_size,4,5.062451362609863,21
airfoil,best_size,5,5.425098896026611,3
airfoil,best_size,6,5.162189483642578,5
airfoil,best_size,7,5.553917407989502,11
airfoil,best_size,8,5.689638614654541,7
airfoil,best_size,9,5.6822967529296875,3
airfoil,best_size,10,5.851170063018799,5
airfoil,best_size,11,5.838428020477295,3
airfoil,best_size,12,5.62739896774292,9
airfoil,best_size,13,5.617694854736328,3
airfoil,best_size,14,5.255839824676514,15
airfoil,optimal_compromise,0,4.408928871154785,19
airfoil,optimal_compromise,1,5.241689682006836,21
airfoil,optimal_compromise,2,4.871622085571289,23
airfoil,optimal_compromise,3,4.759111404418945,39
airfoil,optimal_compromise,4,4.875991344451904,45
airfoil,optimal_compromise,5,5.218062400817871,17
airfoil,optimal_compromise,6,4.906728267669678,25
airfoil,optimal_compromise,7,5.093965530395508,31
airfoil,optimal_compromise,8,5.4312286376953125,11
airfoil,optimal_compromise,9,5.446588039398193,33
airfoil,optimal_compromise,10,4.711501598358154,23
airfoil,optimal_compromise,11,5.547484397888184,17
airfoil,optimal_compromise,12,4.211874485015869,25
airfoil,optimal_compromise,13,5.428073883056641,9
airfoil,optimal_compromise,14,5.220085620880127,41
bike_sharing,best_fitness,0,420.23297119140625,41
bike_sharing,best_fitness,1,0.05077153816819191,49
bike_sharing,best_fitness,2,0.00027736221090890467,9
bike_sharing,best_fitness,3,0.0005205050692893565,9
bike_sharing,best_fitness,4,0.0003930941456928849,3
bike_sharing,best_fitness,5,0.0004030612763017416,5
bike_sharing,best_fitness,6,396.2381286621094,57
bike_sharing,best_fitness,7,374.89892578125,55
bike_sharing,best_fitness,8,417.2511291503906,43
bike_sharing,best_fitness,9,397.6226806640625,51
bike_sharing,best_fitness,10,427.2146911621094,71
bike_sharing,best_fitness,11,427.7380676269531,81
bike_sharing,best_fitness,12,371.0711975097656,53
bike_sharing,best_fitness,13,0.00046920074964873493,3
bike_sharing,best_fitness,14,402.1380310058594,57
bike_sharing,best_size,0,607.589111328125,1
bike_sharing,best_size,1,0.4787033498287201,15
bike_sharing,best_size,2,0.40030723810195923,5
bike_sharing,best_size,3,0.0007531358860433102,5
bike_sharing,best_size,4,0.0003930941456928849,3
bike_sharing,best_size,5,0.0004030612763017416,5
bike_sharing,best_size,6,610.7662353515625,5
bike_sharing,best_size,7,579.9901123046875,3
bike_sharing,best_size,8,711.6084594726562,3
bike_sharing,best_size,9,594.8989868164062,3
bike_sharing,best_size,10,590.0889282226562,31
bike_sharing,best_size,11,629.5870361328125,31
bike_sharing,best_size,12,527.9677124023438,3
bike_sharing,best_size,13,0.00046920074964873493,3
bike_sharing,best_size,14,642.3850708007812,7
bike_sharing,optimal_compromise,0,512.4522705078125,15
bike_sharing,optimal_compromise,1,0.15220381319522858,29
bike_sharing,optimal_compromise,2,0.40030723810195923,5
bike_sharing,optimal_compromise,3,0.0007531358860433102,5
bike_sharing,optimal_compromise,4,0.0003930941456928849,3
bike_sharing,optimal_compromise,5,0.0004030612763017416,5
bike_sharing,optimal_compromise,6,501.0576171875,23
bike_sharing,optimal_compromise,7,424.7460021972656,25
bike_sharing,optimal_compromise,8,505.5735168457031,19
bike_sharing,optimal_compromise,9,463.6745910644531,19
bike_sharing,optimal_compromise,10,497.8473205566406,39
bike_sharing,optimal_compromise,11,464.6552734375,57
bike_sharing,optimal_compromise,12,416.1998291015625,19
bike_sharing,optimal_compromise,13,0.00046920074964873493,3
bike_sharing,optimal_compromise,14,461.6558837890625,31
bioavailability,best_fitness,0,30.144840240478516,51
bioavailability,best_fitness,1,27.543628692626953,61
bioavailability,best_fitness,2,28.419893264770508,39
bioavailability,best_fitness,3,30.44292449951172,101
bioavailability,best_fitness,4,31.110273361206055,67
bioavailability,best_fitness,5,39.04533004760742,51
bioavailability,best_fitness,6,30.30675506591797,39
bioavailability,best_fitness,7,31.166080474853516,67
bioavailability,best_fitness,8,33.41496658325195,33
bioavailability,best_fitness,9,31.265100479125977,43
bioavailability,best_fitness,10,32.52114486694336,39
bioavailability,best_fitness,11,33.47848892211914,43
bioavailability,best_fitness,12,32.113162994384766,41
bioavailability,best_fitness,13,34.80236053466797,43
bioavailability,best_fitness,14,31.77639389038086,39
bioavailability,best_size,0,31.079288482666016,15
bioavailability,best_size,1,30.8695011138916,29
bioavailability,best_size,2,29.156076431274414,3
bioavailability,best_size,3,30.517229080200195,63
bioavailability,best_size,4,29.78035545349121,11
bioavailability,best_size,5,35.748870849609375,15
bioavailability,best_size,6,30.00980567932129,3
bioavailability,best_size,7,29.461252212524414,3
bioavailability,best_size,8,32.13935852050781,3
bioavailability,best_size,9,30.387351989746094,3
bioavailability,best_size,10,31.753725051879883,3
bioavailability,best_size,11,31.742021560668945,7
bioavailability,best_size,12,34.213035583496094,3
bioavailability,best_size,13,36.632530212402344,7
bioavailability,best_size,14,31.66055679321289,3
bioavailability,optimal_compromise,0,29.051681518554688,23
bioavailability,optimal_compromise,1,28.651845932006836,41
bioavailability,optimal_compromise,2,28.65955352783203,19
bioavailability,optimal_compromise,3,32.34170913696289,75
bioavailability,optimal_compromise,4,30.324270248413086,43
bioavailability,optimal_compromise,5,31.95110321044922,19
bioavailability,optimal_compromise,6,30.08004379272461,23
bioavailability,optimal_compromise,7,30.79508399963379,47
bioavailability,optimal_compromise,8,32.997901916503906,15
bioavailability,optimal_compromise,9,32.981658935546875,27
bioavailability,optimal_compromise,10,31.7703914642334,7
bioavailability,optimal_compromise,11,32.99028778076172,23
bioavailability,optimal_compromise,12,32.21304702758789,11
bioavailability,optimal_compromise,13,33.3332633972168,19
bioavailability,optimal_compromise,14,32.77032470703125,11
boston,best_fitness,0,4.80612850189209,45
boston,best_fitness,1,4.340646266937256,41
boston,best_fitness,2,5.363312244415283,49
boston,best_fitness,3,4.0828938484191895,45
boston,best_fitness,4,6.0041584968566895,41
boston,best_fitness,5,5.401546955108643,39
boston,best_fitness,6,5.3846330642700195,51
boston,best_fitness,7,5.659693717956543,39
boston,best_fitness,8,4.7982048988342285,45
boston,best_fitness,9,5.916067123413086,41
boston,best_fitness,10,4.025761127471924,31
boston,best_fitness,11,5.362771034240723,41
boston,best_fitness,12,4.853332042694092,43
boston,best_fitness,13,4.097370147705078,45
boston,best_fitness,14,4.387092113494873,41
boston,best_size,0,5.551059246063232,3
boston,best_size,1,5.212075710296631,3
boston,best_size,2,5.745328903198242,5
boston,best_size,3,5.783108711242676,3
boston,best_size,4,5.785717964172363,5
boston,best_size,5,6.4975457191467285,3
boston,best_size,6,6.623716831207275,9
boston,best_size,7,7.230992317199707,5
boston,best_size,8,5.035869598388672,3
boston,best_size,9,6.8626837730407715,3
boston,best_size,10,4.416097164154053,5
boston,best_size,11,8.200522422790527,3
boston,best_size,12,5.723757266998291,3
boston,best_size,13,4.932366847991943,3
boston,best_size,14,4.916062355041504,3
boston,optimal_compromise,0,4.820894241333008,29
boston,optimal_compromise,1,4.413452625274658,19
boston,optimal_compromise,2,5.7122883796691895,17
boston,optimal_compromise,3,4.215236186981201,21
boston,optimal_compromise,4,5.918006896972656,17
boston,optimal_compromise,5,5.862237930297852,17
boston,optimal_compromise,6,5.356746673583984,21
boston,optimal_compromise,7,5.752511978149414,15
boston,optimal_compromise,8,4.99213981628418,23
boston,optimal_compromise,9,5.963827610015869,23
boston,optimal_compromise,10,4.330959796905518,13
boston,optimal_compromise,11,5.618501663208008,11
boston,optimal_compromise,12,5.0214338302612305,21
boston,optimal_compromise,13,4.030083656311035,15
boston,optimal_compromise,14,4.661059856414795,21
breast_cancer,best_fitness,0,0.2849847674369812,23
breast_cancer,best_fitness,1,0.2604585587978363,45
breast_cancer,best_fitness,2,0.2569541931152344,47
breast_cancer,best_fitness,3,0.24458421766757965,25
breast_cancer,best_fitness,4,0.2773364186286926,41
breast_cancer,best_fitness,5,0.24443769454956055,47
breast_cancer,best_fitness,6,0.2691400349140167,39
breast_cancer,best_fitness,7,0.24246959388256073,39
breast_cancer,best_fitness,8,0.247330442070961,37
breast_cancer,best_fitness,9,0.2782946527004242,31
breast_cancer,best_fitness,10,0.24258384108543396,43
breast_cancer,best_fitness,11,0.23888710141181946,17
breast_cancer,best_fitness,12,0.2892022728919983,37
breast_cancer,best_fitness,13,0.25096791982650757,37
breast_cancer,best_fitness,14,0.2888560891151428,37
breast_cancer,best_size,0,0.3143842816352844,3
breast_cancer,best_size,1,0.2936844825744629,3
breast_cancer,best_size,2,0.31335756182670593,3
breast_cancer,best_size,3,0.46835315227508545,7
breast_cancer,best_size,4,0.30281853675842285,3
breast_cancer,best_size,5,0.3152254521846771,7
breast_cancer,best_size,6,0.3017059564590454,3
breast_cancer,best_size,7,0.28332793712615967,7
breast_cancer,best_size,8,0.29391780495643616,3
breast_cancer,best_size,9,0.30782780051231384,3
breast_cancer,best_size,10,0.29479601979255676,5
breast_cancer,best_size,11,0.3034462630748749,3
breast_cancer,best_size,12,0.2761462926864624,3
breast_cancer,best_size,13,0.30877944827079773,3
breast_cancer,best_size,14,0.3172016441822052,3
breast_cancer,optimal_compromise,0,0.29093751311302185,11
breast_cancer,optimal_compromise,1,0.2645852565765381,25
breast_cancer,optimal_compromise,2,0.2545742988586426,17
breast_cancer,optimal_compromise,3,0.2464931607246399,15
breast_cancer,optimal_compromise,4,0.29885897040367126,7
breast_cancer,optimal_compromise,5,0.257040798664093,19
breast_cancer,optimal_compromise,6,0.27539190649986267,15
breast_cancer,optimal_compromise,7,0.24869075417518616,25
breast_cancer,optimal_compromise,8,0.2851864695549011,7
breast_cancer,optimal_compromise,9,0.27847594022750854,15
breast_cancer,optimal_compromise,10,0.2543517053127289,15
breast_cancer,optimal_compromise,11,0.2544933557510376,7
breast_cancer,optimal_compromise,12,0.2644330859184265,7
breast_cancer,optimal_compromise,13,0.2751101851463318,11
