dataset,individual,run,fitness,size
airfoil,best_fitness,0,36.243717193603516,47
airfoil,best_fitness,1,48.718387603759766,67
airfoil,best_fitness,2,70.36131286621094,57
airfoil,best_fitness,3,68.44202423095703,71
airfoil,best_fitness,4,67.93244171142578,59
airfoil,best_fitness,5,68.16036224365234,55
airfoil,best_fitness,6,33.76956558227539,69
airfoil,best_fitness,7,68.98011779785156,55
airfoil,best_fitness,8,67.0246810913086,91
airfoil,best_fitness,9,34.35643768310547,47
airfoil,best_fitness,10,33.7285041809082,67
airfoil,best_fitness,11,74.26604461669922,33
airfoil,best_fitness,12,32.4924430847168,59
airfoil,best_fitness,13,68.94961547851562,67
airfoil,best_fitness,14,64.96089172363281,67
airfoil,best_fitness,15,59.69091033935547,55
airfoil,best_fitness,16,64.9187240600586,55
airfoil,best_fitness,17,33.350589752197266,63
airfoil,best_fitness,18,33.07827377319336,77
airfoil,best_fitness,19,68.41206359863281,57
airfoil,best_fitness,20,71.41202545166016,59
airfoil,best_fitness,21,67.58418273925781,47
airfoil,best_fitness,22,38.69132995605469,55
airfoil,best_fitness,23,32.37971878051758,57
airfoil,best_fitness,24,34.370330810546875,49
airfoil,best_fitness,25,49.19467544555664,73
airfoil,best_fitness,26,62.665733337402344,71
airfoil,best_fitness,27,69.65294647216797,57
airfoil,best_fitness,28,63.346309661865234,95
airfoil,best_fitness,29,32.50025939941406,53
airfoil,best_size,0,38.03201675415039,31
airfoil,best_size,1,50.14976501464844,39
airfoil,best_size,2,70.51618194580078,35
airfoil,best_size,3,68.63681030273438,39
airfoil,best_size,4,68.72763061523438,27
airfoil,best_size,5,68.40103149414062,33
airfoil,best_size,6,35.420467376708984,41
airfoil,best_size,7,69.43672943115234,25
airfoil,best_size,8,67.22478485107422,51
airfoil,best_size,9,35.70586395263672,27
airfoil,best_size,10,35.060089111328125,39
airfoil,best_size,11,74.86976623535156,25
airfoil,best_size,12,33.93789291381836,39
airfoil,best_size,13,69.3686752319336,37
airfoil,best_size,14,65.21882629394531,39
airfoil,best_size,15,60.1121940612793,33
airfoil,best_size,16,65.1735610961914,27
airfoil,best_size,17,35.36447525024414,39
airfoil,best_size,18,34.402442932128906,43
airfoil,best_size,19,68.82591247558594,29
airfoil,best_size,20,71.60232543945312,35
airfoil,best_size,21,67.59391784667969,29
airfoil,best_size,22,40.207183837890625,35
airfoil,best_size,23,33.93484115600586,43
airfoil,best_size,24,36.25243377685547,33
airfoil,best_size,25,51.05796432495117,43
airfoil,best_size,26,63.274295806884766,55
airfoil,best_size,27,70.2734375,33
airfoil,best_size,28,63.655540466308594,51
airfoil,best_size,29,33.87627410888672,37
airfoil,optimal_compromise,0,36.842681884765625,41
airfoil,optimal_compromise,1,49.36271286010742,51
airfoil,optimal_compromise,2,70.4460678100586,43
airfoil,optimal_compromise,3,68.46054077148438,55
airfoil,optimal_compromise,4,68.2785415649414,39
airfoil,optimal_compromise,5,68.2196273803711,43
airfoil,optimal_compromise,6,34.30714797973633,57
airfoil,optimal_compromise,7,69.10133361816406,45
airfoil,optimal_compromise,8,67.11814880371094,63
airfoil,optimal_compromise,9,34.745426177978516,35
airfoil,optimal_compromise,10,34.33763122558594,51
airfoil,optimal_compromise,11,74.26604461669922,33
airfoil,optimal_compromise,12,33.07046127319336,53
airfoil,optimal_compromise,13,69.18880462646484,47
airfoil,optimal_compromise,14,65.04493713378906,51
airfoil,optimal_compromise,15,59.77587890625,43
airfoil,optimal_compromise,16,65.026123046875,39
airfoil,optimal_compromise,17,33.93733596801758,49
airfoil,optimal_compromise,18,33.35788345336914,65
airfoil,optimal_compromise,19,68.58566284179688,41
airfoil,optimal_compromise,20,71.30217742919922,47
airfoil,optimal_compromise,21,67.52777862548828,39
airfoil,optimal_compromise,22,39.33933639526367,45
airfoil,optimal_compromise,23,32.853450775146484,51
airfoil,optimal_compromise,24,34.873207092285156,41
airfoil,optimal_compromise,25,50.05373764038086,47
airfoil,optimal_compromise,26,62.77995300292969,61
airfoil,optimal_compromise,27,69.73748779296875,41
airfoil,optimal_compromise,28,63.512481689453125,65
airfoil,optimal_compromise,29,32.97052764892578,45
bike_sharing,best_fitness,0,1056.9407958984375,55
bike_sharing,best_fitness,1,2.0566680431365967,29
bike_sharing,best_fitness,2,0.503716230392456,9
bike_sharing,best_fitness,3,0.9995045065879822,9
bike_sharing,best_fitness,4,0.0,3
bike_sharing,best_fitness,5,2.9980978965759277,13
bike_sharing,best_fitness,6,1085.723388671875,67
bike_sharing,best_fitness,7,999.1295166015625,53
bike_sharing,best_fitness,8,1199.9290771484375,47
bike_sharing,best_fitness,9,1048.5040283203125,43
bike_sharing,best_fitness,10,1018.7864990234375,55
bike_sharing,best_fitness,11,1078.9312744140625,81
bike_sharing,best_fitness,12,942.9121704101562,57
bike_sharing,best_fitness,13,0.0,3
bike_sharing,best_fitness,14,1089.214111328125,49
bike_sharing,best_fitness,15,1091.83984375,67
bike_sharing,best_fitness,16,8.520562171936035,71
bike_sharing,best_fitness,17,1100.6973876953125,57
bike_sharing,best_fitness,18,1152.5755615234375,63
bike_sharing,best_fitness,19,1013.4658203125,61
bike_sharing,best_fitness,20,1110.6552734375,51
bike_sharing,best_fitness,21,1148.69775390625,55
bike_sharing,best_fitness,22,0.0,3
bike_sharing,best_fitness,23,948.87646484375,83
bike_sharing,best_fitness,24,1032.631103515625,51
bike_sharing,best_fitness,25,1041.765380859375,81
bike_sharing,best_fitness,26,957.2937622070312,55
bike_sharing,best_fitness,27,1114.91845703125,65
bike_sharing,best_fitness,28,1099.4093017578125,59
bike_sharing,best_fitness,29,1134.70947265625,57
bike_sharing,best_size,0,1058.3193359375,31
bike_sharing,best_size,1,2.000305652618408,15
bike_sharing,best_size,2,0.6973531246185303,5
bike_sharing,best_size,3,1.0,5
bike_sharing,best_size,4,0.0,3
bike_sharing,best_size,5,3.0,5
bike_sharing,best_size,6,1086.8240966796875,45
bike_sharing,best_size,7,1000.2745971679688,33
bike_sharing,best_size,8,1201.94482421875,33
bike_sharing,best_size,9,1049.6649169921875,31
bike_sharing,best_size,10,1019.6463623046875,33
bike_sharing,best_size,11,1080.8118896484375,57
bike_sharing,best_size,12,943.5206909179688,45
bike_sharing,best_size,13,0.0,3
bike_sharing,best_size,14,1090.739501953125,33
bike_sharing,best_size,15,1093.4505615234375,39
bike_sharing,best_size,16,8.765315055847168,47
bike_sharing,best_size,17,1102.3582763671875,39
bike_sharing,best_size,18,1154.2535400390625,49
bike_sharing,best_size,19,1014.929443359375,39
bike_sharing,best_size,20,1112.27978515625,37
bike_sharing,best_size,21,1150.1715087890625,39
bike_sharing,best_size,22,0.0,3
bike_sharing,best_size,23,949.702392578125,65
bike_sharing,best_size,24,1034.108642578125,31
bike_sharing,best_size,25,1042.5406494140625,65
bike_sharing,best_size,26,958.042236328125,41
bike_sharing,best_size,27,1116.6807861328125,41
bike_sharing,best_size,28,1101.1168212890625,39
bike_sharing,best_size,29,1137.15771484375,37
bike_sharing,optimal_compromise,0,1057.576904296875,39
bike_sharing,optimal_compromise,1,2.0701334476470947,19
bike_sharing,optimal_compromise,2,0.6973531246185303,5
bike_sharing,optimal_compromise,3,1.0,5
bike_sharing,optimal_compromise,4,0.0,3
bike_sharing,optimal_compromise,5,2.9979937076568604,9
bike_sharing,optimal_compromise,6,1086.3419189453125,55
bike_sharing,optimal_compromise,7,999.3770751953125,41
bike_sharing,optimal_compromise,8,1200.911376953125,39
bike_sharing,optimal_compromise,9,1049.14453125,35
bike_sharing,optimal_compromise,10,1018.9325561523438,41
bike_sharing,optimal_compromise,11,1080.068603515625,61
bike_sharing,optimal_compromise,12,943.1427001953125,49
bike_sharing,optimal_compromise,13,0.0,3
bike_sharing,optimal_compromise,14,1089.7960205078125,39
bike_sharing,optimal_compromise,15,1092.401611328125,51
bike_sharing,optimal_compromise,16,8.51243782043457,59
bike_sharing,optimal_compromise,17,1101.3612060546875,47
bike_sharing,optimal_compromise,18,1153.116943359375,57
bike_sharing,optimal_compromise,19,1013.9534912109375,45
bike_sharing,optimal_compromise,20,1110.953857421875,45
bike_sharing,optimal_compromise,21,1149.353271484375,47
bike_sharing,optimal_compromise,22,0.0,3
bike_sharing,optimal_compromise,23,949.2377319335938,71
bike_sharing,optimal_compromise,24,1033.000244140625,39
bike_sharing,optimal_compromise,25,1042.188232421875,73
bike_sharing,optimal_compromise,26,957.5635986328125,49
bike_sharing,optimal_compromise,27,1115.3460693359375,53
bike_sharing,optimal_compromise,28,1100.40966796875,45
bike_sharing,optimal_compromise,29,1135.8154296875,41
bioavailability,best_fitness,0,56.8117561340332,69
bioavailability,best_fitness,1,64.85856628417969,43
bioavailability,best_fitness,2,47.88759994506836,47
bioavailability,best_fitness,3,47.2386474609375,43
bioavailability,best_fitness,4,53.239810943603516,45
bioavailability,best_fitness,5,45.753623962402344,43
bioavailability,best_fitness,6,46.07136154174805,43
bioavailability,best_fitness,7,46.62234115600586,55
bioavailability,best_fitness,8,43.90190887451172,71
bioavailability,best_fitness,9,56.347320556640625,41
bioavailability,best_fitness,10,60.675804138183594,41
bioavailability,best_fitness,11,56.17386245727539,71
bioavailability,best_fitness,12,53.48697280883789,97
