dataset,individual,run,fitness,size
airfoil,best_fitness,0,5.4956254959106445,65
airfoil,best_fitness,1,5.62244987487793,67
airfoil,best_fitness,2,5.723347187042236,45
airfoil,best_fitness,3,5.312211513519287,53
airfoil,best_fitness,4,4.550394535064697,45
airfoil,best_fitness,5,5.3650078773498535,53
airfoil,best_fitness,6,4.1768035888671875,57
airfoil,best_fitness,7,5.540131092071533,61
airfoil,best_fitness,8,5.420701503753662,69
airfoil,best_fitness,9,5.606281280517578,61
airfoil,best_fitness,10,5.783324241638184,51
airfoil,best_fitness,11,5.829159736633301,53
airfoil,best_fitness,12,4.881539344787598,81
airfoil,best_fitness,13,5.555340766906738,51
airfoil,best_fitness,14,5.254757881164551,69
airfoil,best_fitness,15,5.74690580368042,71
airfoil,best_fitness,16,5.688645362854004,75
airfoil,best_fitness,17,5.719933032989502,47
airfoil,best_fitness,18,5.502073764801025,61
airfoil,best_fitness,19,4.023766994476318,41
airfoil,best_fitness,20,5.857872009277344,79
airfoil,best_fitness,21,5.1009039878845215,45
airfoil,best_fitness,22,5.851391315460205,61
airfoil,best_fitness,23,4.8895769119262695,69
airfoil,best_fitness,24,5.865077495574951,65
airfoil,best_fitness,25,5.134665012359619,55
airfoil,best_fitness,26,5.6242356300354,77
airfoil,best_fitness,27,6.402397155761719,61
airfoil,best_fitness,28,6.062410354614258,127
airfoil,best_fitness,29,5.896397590637207,77
airfoil,best_size,0,5.532531261444092,31
airfoil,best_size,1,5.647791385650635,27
airfoil,best_size,2,5.73959493637085,31
airfoil,best_size,3,5.329503536224365,27
airfoil,best_size,4,5.0246901512146,17
airfoil,best_size,5,5.388513088226318,25
airfoil,best_size,6,6.281221866607666,29
airfoil,best_size,7,5.544055461883545,39
airfoil,best_size,8,5.651421546936035,25
airfoil,best_size,9,5.647873401641846,29
airfoil,best_size,10,5.811229705810547,33
airfoil,best_size,11,5.831732749938965,35
airfoil,best_size,12,5.17227029800415,51
airfoil,best_size,13,5.583343505859375,37
airfoil,best_size,14,5.255160331726074,49
airfoil,best_size,15,5.782358169555664,39
airfoil,best_size,16,5.722006797790527,37
airfoil,best_size,17,5.723855972290039,21
airfoil,best_size,18,5.505831718444824,35
airfoil,best_size,19,7.014660835266113,9
airfoil,best_size,20,5.888545989990234,39
airfoil,best_size,21,5.101443290710449,15
airfoil,best_size,22,5.8526997566223145,27
airfoil,best_size,23,5.462361812591553,43
airfoil,best_size,24,5.919729709625244,35
airfoil,best_size,25,5.179330825805664,31
airfoil,best_size,26,5.649991989135742,37
airfoil,best_size,27,6.4110260009765625,41
airfoil,best_size,28,6.094654083251953,91
airfoil,best_size,29,5.898782253265381,49
airfoil,optimal_compromise,0,5.509799957275391,47
airfoil,optimal_compromise,1,5.637179374694824,33
airfoil,optimal_compromise,2,5.731655597686768,37
airfoil,optimal_compromise,3,5.319349765777588,37
airfoil,optimal_compromise,4,4.841593265533447,27
airfoil,optimal_compromise,5,5.3750457763671875,37
airfoil,optimal_compromise,6,4.2397894859313965,35
airfoil,optimal_compromise,7,5.541965961456299,49
airfoil,optimal_compromise,8,5.480472087860107,43
airfoil,optimal_compromise,9,5.629303455352783,43
airfoil,optimal_compromise,10,5.794270038604736,37
airfoil,optimal_compromise,11,5.830644607543945,39
airfoil,optimal_compromise,12,4.94114351272583,63
airfoil,optimal_compromise,13,5.56511926651001,39
airfoil,optimal_compromise,14,5.2548112869262695,57
airfoil,optimal_compromise,15,5.760982036590576,53
airfoil,optimal_compromise,16,5.699926376342773,57
airfoil,optimal_compromise,17,5.72193717956543,31
airfoil,optimal_compromise,18,5.504530429840088,41
airfoil,optimal_compromise,19,4.799821853637695,29
airfoil,optimal_compromise,20,5.865172386169434,61
airfoil,optimal_compromise,21,5.101049900054932,29
airfoil,optimal_compromise,22,5.851800441741943,45
airfoil,optimal_compromise,23,4.888184547424316,53
airfoil,optimal_compromise,24,5.875360012054443,45
airfoil,optimal_compromise,25,5.141006946563721,47
airfoil,optimal_compromise,26,5.636949062347412,51
airfoil,optimal_compromise,27,6.404081344604492,51
airfoil,optimal_compromise,28,6.079337120056152,107
airfoil,optimal_compromise,29,5.8969197273254395,65
bike_sharing,best_fitness,0,605.6676635742188,55
bike_sharing,best_fitness,1,0.0577305406332016,47
bike_sharing,best_fitness,2,0.002282446715980768,27
bike_sharing,best_fitness,3,0.0,9
bike_sharing,best_fitness,4,0.0,7
bike_sharing,best_fitness,5,0.0,9
bike_sharing,best_fitness,6,607.2032470703125,51
bike_sharing,best_fitness,7,575.8714599609375,63
bike_sharing,best_fitness,8,707.3308715820312,45
bike_sharing,best_fitness,9,590.9893188476562,53
bike_sharing,best_fitness,10,588.712890625,75
bike_sharing,best_fitness,11,628.3764038085938,71
bike_sharing,best_fitness,12,526.0941162109375,41
bike_sharing,best_fitness,13,0.0,7
bike_sharing,best_fitness,14,640.888916015625,41
bike_sharing,best_fitness,15,647.8154296875,47
bike_sharing,best_fitness,16,6.415689468383789,61
bike_sharing,best_fitness,17,619.18408203125,49
bike_sharing,best_fitness,18,665.94140625,43
bike_sharing,best_fitness,19,575.9053955078125,43
bike_sharing,best_fitness,20,682.7815551757812,43
bike_sharing,best_fitness,21,714.4918212890625,47
bike_sharing,best_fitness,22,0.0,3
bike_sharing,best_fitness,23,516.9652099609375,51
bike_sharing,best_fitness,24,579.3483276367188,51
bike_sharing,best_fitness,25,615.52685546875,69
bike_sharing,best_fitness,26,470.5638427734375,67
bike_sharing,best_fitness,27,626.3062133789062,51
bike_sharing,best_fitness,28,663.6903686523438,45
bike_sharing,best_fitness,29,424.1271057128906,59
bike_sharing,best_size,0,606.1222534179688,37
bike_sharing,best_size,1,0.06562797725200653,31
bike_sharing,best_size,2,0.1485493928194046,9
bike_sharing,best_size,3,0.0006120214820839465,5
bike_sharing,best_size,4,0.0009649712592363358,3
bike_sharing,best_size,5,0.0004577497311402112,5
bike_sharing,best_size,6,608.6464233398438,25
bike_sharing,best_size,7,577.3893432617188,39
bike_sharing,best_size,8,708.6582641601562,33
bike_sharing,best_size,9,592.5714111328125,31
bike_sharing,best_size,10,589.1349487304688,61
bike_sharing,best_size,11,628.9673461914062,43
bike_sharing,best_size,12,526.6602172851562,27
bike_sharing,best_size,13,0.0005787438130937517,3
bike_sharing,best_size,14,641.298583984375,27
bike_sharing,best_size,15,648.5941162109375,29
bike_sharing,best_size,16,6.730846405029297,39
bike_sharing,best_size,17,620.77490234375,23
bike_sharing,best_size,18,666.20654296875,29
bike_sharing,best_size,19,576.352294921875,29
bike_sharing,best_size,20,683.3372802734375,19
bike_sharing,best_size,21,716.3426513671875,27
bike_sharing,best_size,22,0.0,3
bike_sharing,best_size,23,517.9314575195312,35
bike_sharing,best_size,24,579.5989990234375,31
bike_sharing,best_size,25,615.8213500976562,57
bike_sharing,best_size,26,497.21014404296875,43
bike_sharing,best_size,27,626.9246215820312,35
bike_sharing,best_size,28,664.2141723632812,33
bike_sharing,best_size,29,425.0219421386719,41
bike_sharing,optimal_compromise,0,605.9559326171875,41
bike_sharing,optimal_compromise,1,0.06477151066064835,35
bike_sharing,optimal_compromise,2,0.014967338182032108,13
bike_sharing,optimal_compromise,3,0.0006120214820839465,5
bike_sharing,optimal_compromise,4,0.0009649712592363358,3
bike_sharing,optimal_compromise,5,0.0004577497311402112,5
bike_sharing,optimal_compromise,6,607.621826171875,37
bike_sharing,optimal_compromise,7,576.4096069335938,47
bike_sharing,optimal_compromise,8,707.8333740234375,37
bike_sharing,optimal_compromise,9,591.6585083007812,39
bike_sharing,optimal_compromise,10,588.87158203125,67
bike_sharing,optimal_compromise,11,628.5863037109375,59
bike_sharing,optimal_compromise,12,526.2233276367188,33
bike_sharing,optimal_compromise,13,0.0005787438130937517,3
bike_sharing,optimal_compromise,14,641.1780395507812,31
bike_sharing,optimal_compromise,15,647.92529296875,37
bike_sharing,optimal_compromise,16,6.554117679595947,47
bike_sharing,optimal_compromise,17,619.4755859375,37
bike_sharing,optimal_compromise,18,666.114501953125,33
bike_sharing,optimal_compromise,19,576.1220703125,33
bike_sharing,optimal_compromise,20,682.986572265625,31
bike_sharing,optimal_compromise,21,715.6015014648438,33
bike_sharing,optimal_compromise,22,0.0,3
bike_sharing,optimal_compromise,23,517.3389282226562,43
bike_sharing,optimal_compromise,24,579.5501708984375,39
bike_sharing,optimal_compromise,25,615.6390380859375,65
bike_sharing,optimal_compromise,26,476.577880859375,55
bike_sharing,optimal_compromise,27,626.5739135742188,45
bike_sharing,optimal_compromise,28,663.8016967773438,39
bike_sharing,optimal_compromise,29,424.4071350097656,51
bioavailability,best_fitness,0,30.634540557861328,39
bioavailability,best_fitness,1,31.336660385131836,39
bioavailability,best_fitness,2,28.692052841186523,39
bioavailability,best_fitness,3,30.473678588867188,99
bioavailability,best_fitness,4,27.956777572631836,43
bioavailability,best_fitness,5,38.38302230834961,53
bioavailability,best_fitness,6,28.531660079956055,39
bioavailability,best_fitness,7,29.83004379272461,39
bioavailability,best_fitness,8,30.933807373046875,39
bioavailability,best_fitness,9,32.39195251464844,99
bioavailability,best_fitness,10,32.54388427734375,39
bioavailability,best_fitness,11,31.368770599365234,49
bioavailability,best_fitness,12,35.781009674072266,39
bioavailability,best_fitness,13,41.35235595703125,45
bioavailability,best_fitness,14,32.22613525390625,41
bioavailability,best_fitness,15,32.474853515625,37
bioavailability,best_fitness,16,30.497634887695312,101
bioavailability,best_fitness,17,30.577434539794922,101
bioavailability,best_fitness,18,27.011137008666992,41
bioavailability,best_fitness,19,27.71369743347168,39
bioavailability,best_fitness,20,32.995426177978516,39
bioavailability,best_fitness,21,30.70940589904785,45
bioavailability,best_fitness,22,32.647220611572266,43
bioavailability,best_fitness,23,30.96710205078125,37
bioavailability,best_fitness,24,32.96796798706055,35
bioavailability,best_fitness,25,32.715919494628906,41
bioavailability,best_fitness,26,28.174497604370117,39
bioavailability,best_fitness,27,27.323102951049805,39
bioavailability,best_fitness,28,28.396806716918945,35
bioavailability,best_fitness,29,32.109195709228516,39
bioavailability,best_size,0,28.215484619140625,27
bioavailability,best_size,1,34.55549240112305,23
bioavailability,best_size,2,28.277368545532227,27
bioavailability,best_size,3,30.2451114654541,87
bioavailability,best_size,4,28.07185935974121,31
bioavailability,best_size,5,37.75117874145508,35
bioavailability,best_size,6,27.534423828125,23
bioavailability,best_size,7,30.0911808013916,25
bioavailability,best_size,8,32.2436408996582,23
bioavailability,best_size,9,33.03520584106445,87
bioavailability,best_size,10,32.89015579223633,23
bioavailability,best_size,11,32.3584098815918,23
bioavailability,best_size,12,34.15209197998047,27
bioavailability,best_size,13,39.344749450683594,31
bioavailability,best_size,14,31.785511016845703,27
bioavailability,best_size,15,32.837852478027344,27
bioavailability,best_size,16,30.511125564575195,87
bioavailability,best_size,17,30.561973571777344,91
bioavailability,best_size,18,28.100893020629883,29
bioavailability,best_size,19,27.953060150146484,27
bioavailability,best_size,20,32.29240798950195,27
bioavailability,best_size,21,30.577056884765625,27
bioavailability,best_size,22,32.90066909790039,35
bioavailability,best_size,23,31.17996597290039,25
bioavailability,best_size,24,32.845638275146484,19
bioavailability,best_size,25,33.02991485595703,25
bioavailability,best_size,26,27.912124633789062,23
bioavailability,best_size,27,28.11526107788086,27
bioavailability,best_size,28,29.548587799072266,23
bioavailability,best_size,29,31.935861587524414,23
bioavailability,optimal_compromise,0,30.097566604614258,31
bioavailability,optimal_compromise,1,31.031003952026367,27
bioavailability,optimal_compromise,2,28.640867233276367,31
bioavailability,optimal_compromise,3,30.304136276245117,91
bioavailability,optimal_compromise,4,27.962371826171875,35
bioavailability,optimal_compromise,5,38.00935363769531,39
bioavailability,optimal_compromise,6,27.810518264770508,31
bioavailability,optimal_compromise,7,29.88531494140625,29
bioavailability,optimal_compromise,8,31.5653076171875,31
bioavailability,optimal_compromise,9,31.708999633789062,95
bioavailability,optimal_compromise,10,32.612060546875,31
bioavailability,optimal_compromise,11,32.39718246459961,35
bioavailability,optimal_compromise,12,34.7524299621582,31
bioavailability,optimal_compromise,13,40.52124786376953,37
bioavailability,optimal_compromise,14,31.955976486206055,31
bioavailability,optimal_compromise,15,32.3735237121582,33
bioavailability,optimal_compromise,16,30.50236701965332,91
bioavailability,optimal_compromise,17,30.599504470825195,93
bioavailability,optimal_compromise,18,27.391267776489258,31
bioavailability,optimal_compromise,19,27.744773864746094,35
bioavailability,optimal_compromise,20,33.43050765991211,31
bioavailability,optimal_compromise,21,30.70789909362793,31
bioavailability,optimal_compromise,22,33.00065994262695,39
bioavailability,optimal_compromise,23,30.671974182128906,29
bioavailability,optimal_compromise,24,33.47636413574219,27
bioavailability,optimal_compromise,25,32.70097351074219,31
bioavailability,optimal_compromise,26,28.111757278442383,31
bioavailability,optimal_compromise,27,27.48786163330078,31
bioavailability,optimal_compromise,28,28.63991928100586,27
bioavailability,optimal_compromise,29,32.393131256103516,31
boston,best_fitness,0,5.383481025695801,43
boston,best_fitness,1,4.828275203704834,45
boston,best_fitness,2,5.679793357849121,45
boston,best_fitness,3,3.9429032802581787,41
boston,best_fitness,4,5.6821513175964355,39
boston,best_fitness,5,6.300632476806641,41
boston,best_fitness,6,6.2321085929870605,55
boston,best_fitness,7,6.5867156982421875,37
boston,best_fitness,8,5.010007381439209,67
boston,best_fitness,9,6.587864398956299,49
boston,best_fitness,10,4.4842658042907715,39
boston,best_fitness,11,6.2031097412109375,43
boston,best_fitness,12,4.984601974487305,49
boston,best_fitness,13,4.482156753540039,39
boston,best_fitness,14,3.792043924331665,43
boston,best_fitness,15,5.000115394592285,49
boston,best_fitness,16,5.186119556427002,39
boston,best_fitness,17,5.450199604034424,49
boston,best_fitness,18,7.371095657348633,45
boston,best_fitness,19,4.564181327819824,53
boston,best_fitness,20,4.381133079528809,67
boston,best_fitness,21,5.681086540222168,49
boston,best_fitness,22,4.919471263885498,41
boston,best_fitness,23,4.475245952606201,63
boston,best_fitness,24,4.213870048522949,75
boston,best_fitness,25,5.652587413787842,51
boston,best_fitness,26,6.350050926208496,61
boston,best_fitness,27,6.746756076812744,37
boston,best_fitness,28,5.586895942687988,57
boston,best_fitness,29,4.6345133781433105,55
boston,best_size,0,5.433408737182617,27
boston,best_size,1,4.94615364074707,29
boston,best_size,2,5.7095818519592285,29
boston,best_size,3,4.894287109375,23
boston,best_size,4,5.702526569366455,31
boston,best_size,5,6.414243221282959,21
boston,best_size,6,6.383425712585449,39
