dataset,individual,run,fitness,size
airfoil,best_fitness,0,15.523231506347656,83
airfoil,best_fitness,1,10.055148124694824,61
airfoil,best_fitness,2,4.110279083251953,63
airfoil,best_fitness,3,4.231764793395996,53
airfoil,best_fitness,4,35.60595703125,57
airfoil,best_fitness,5,43.780174255371094,51
airfoil,best_fitness,6,16.797901153564453,51
airfoil,best_fitness,7,22.243202209472656,59
airfoil,best_fitness,8,59.11408615112305,97
airfoil,best_fitness,9,23.386566162109375,61
airfoil,best_fitness,10,4.949044704437256,63
airfoil,best_fitness,11,18.108840942382812,69
airfoil,best_fitness,12,11.497875213623047,79
airfoil,best_fitness,13,4.200544357299805,49
airfoil,best_fitness,14,11.02121353149414,69
airfoil,best_fitness,15,26.525293350219727,61
airfoil,best_fitness,16,45.764129638671875,73
airfoil,best_fitness,17,23.984743118286133,79
airfoil,best_fitness,18,6.004966735839844,63
airfoil,best_fitness,19,17.71047019958496,81
airfoil,best_fitness,20,15.951605796813965,47
airfoil,best_fitness,21,4.426569938659668,59
airfoil,best_fitness,22,29.037485122680664,59
airfoil,best_fitness,23,20.940736770629883,63
airfoil,best_fitness,24,4.193514823913574,57
airfoil,best_fitness,25,25.876789093017578,63
airfoil,best_fitness,26,37.79737091064453,53
airfoil,best_fitness,27,4.231188774108887,59
airfoil,best_fitness,28,49.73563003540039,61
airfoil,best_fitness,29,4.400529861450195,89
airfoil,best_size,0,15.880525588989258,45
airfoil,best_size,1,22.837621688842773,31
airfoil,best_size,2,4.820582389831543,33
airfoil,best_size,3,16.19353675842285,27
airfoil,best_size,4,68.23461151123047,29
airfoil,best_size,5,115.31693267822266,25
airfoil,best_size,6,16.99658203125,33
airfoil,best_size,7,61.453125,39
airfoil,best_size,8,66.84954833984375,39
airfoil,best_size,9,23.389080047607422,47
airfoil,best_size,10,5.878713607788086,47
airfoil,best_size,11,20.7209415435791,51
airfoil,best_size,12,35.313133239746094,27
airfoil,best_size,13,4.844141483306885,41
airfoil,best_size,14,104.4547348022461,33
airfoil,best_size,15,32.210205078125,31
airfoil,best_size,16,47.02885055541992,37
airfoil,best_size,17,24.215715408325195,35
airfoil,best_size,18,7.514526844024658,23
airfoil,best_size,19,54.68836975097656,59
airfoil,best_size,20,16.219226837158203,27
airfoil,best_size,21,16.26801300048828,29
airfoil,best_size,22,29.455976486206055,45
airfoil,best_size,23,21.36964988708496,39
airfoil,best_size,24,5.517180919647217,29
airfoil,best_size,25,48.325077056884766,37
airfoil,best_size,26,43.356101989746094,39
airfoil,best_size,27,69.36419677734375,31
airfoil,best_size,28,60.039817810058594,25
airfoil,best_size,29,4.767743110656738,45
airfoil,optimal_compromise,0,15.536954879760742,67
airfoil,optimal_compromise,1,10.945161819458008,41
airfoil,optimal_compromise,2,4.441335201263428,39
airfoil,optimal_compromise,3,6.568398952484131,33
airfoil,optimal_compromise,4,37.97633743286133,33
airfoil,optimal_compromise,5,48.25130081176758,35
airfoil,optimal_compromise,6,16.864013671875,45
airfoil,optimal_compromise,7,61.453125,39
airfoil,optimal_compromise,8,59.56852340698242,53
airfoil,optimal_compromise,9,23.61437225341797,49
airfoil,optimal_compromise,10,5.218044281005859,49
airfoil,optimal_compromise,11,19.685840606689453,57
airfoil,optimal_compromise,12,12.582326889038086,33
airfoil,optimal_compromise,13,4.259073734283447,45
airfoil,optimal_compromise,14,12.227120399475098,35
airfoil,optimal_compromise,15,28.79494857788086,39
airfoil,optimal_compromise,16,45.531986236572266,51
airfoil,optimal_compromise,17,23.982133865356445,55
airfoil,optimal_compromise,18,6.220569610595703,43
airfoil,optimal_compromise,19,36.41201400756836,63
airfoil,optimal_compromise,20,15.921347618103027,33
airfoil,optimal_compromise,21,5.695828437805176,39
airfoil,optimal_compromise,22,29.25638771057129,47
airfoil,optimal_compromise,23,21.021438598632812,47
airfoil,optimal_compromise,24,4.490588188171387,43
airfoil,optimal_compromise,25,26.462432861328125,41
airfoil,optimal_compromise,26,38.296470642089844,47
airfoil,optimal_compromise,27,15.40115737915039,39
airfoil,optimal_compromise,28,49.83814239501953,51
airfoil,optimal_compromise,29,4.663210391998291,67
bike_sharing,best_fitness,0,849.1543579101562,55
bike_sharing,best_fitness,1,2.053208827972412,39
bike_sharing,best_fitness,2,0.41524043679237366,49
bike_sharing,best_fitness,3,1.0,5
bike_sharing,best_fitness,4,0.0,3
bike_sharing,best_fitness,5,3.0,5
bike_sharing,best_fitness,6,803.498779296875,47
bike_sharing,best_fitness,7,821.5910034179688,51
bike_sharing,best_fitness,8,138241120.0,57
bike_sharing,best_fitness,9,727.6868896484375,43
bike_sharing,best_fitness,10,863.0992431640625,53
bike_sharing,best_fitness,11,865.0486450195312,49
bike_sharing,best_fitness,12,864.5556030273438,51
bike_sharing,best_fitness,13,0.0,3
bike_sharing,best_fitness,14,844.904052734375,43
bike_sharing,best_fitness,15,860.672607421875,47
bike_sharing,best_fitness,16,7.48135232925415,63
bike_sharing,best_fitness,17,738.0820922851562,59
bike_sharing,best_fitness,18,828.7359619140625,69
bike_sharing,best_fitness,19,850.7373046875,61
bike_sharing,best_fitness,20,840.1011962890625,57
bike_sharing,best_fitness,21,829.2330932617188,49
bike_sharing,best_fitness,22,0.0,3
bike_sharing,best_fitness,23,864.2288818359375,59
bike_sharing,best_fitness,24,858.331787109375,49
bike_sharing,best_fitness,25,877.02099609375,51
bike_sharing,best_fitness,26,848.7543334960938,49
bike_sharing,best_fitness,27,836.6689453125,59
bike_sharing,best_fitness,28,850.4573364257812,55
bike_sharing,best_fitness,29,862.03564453125,59
bike_sharing,best_size,0,880.2268676757812,39
bike_sharing,best_size,1,2.053208827972412,27
bike_sharing,best_size,2,0.5034112930297852,25
bike_sharing,best_size,3,1.0,5
bike_sharing,best_size,4,0.0,3
bike_sharing,best_size,5,3.0,5
bike_sharing,best_size,6,824.1157836914062,35
bike_sharing,best_size,7,816.6990966796875,35
bike_sharing,best_size,8,138241120.0,39
