dataset,individual,run,fitness,size
airfoil,best_fitness,0,39.7248649597168,75
airfoil,best_fitness,1,51.467735290527344,47
airfoil,best_fitness,2,64.58646392822266,67
airfoil,best_fitness,3,63.058773040771484,47
airfoil,best_fitness,4,62.4888916015625,51
airfoil,best_fitness,5,61.39785385131836,63
airfoil,best_fitness,6,35.61362838745117,61
airfoil,best_fitness,7,62.852359771728516,59
airfoil,best_fitness,8,61.23101806640625,61
airfoil,best_fitness,9,35.247074127197266,43
airfoil,best_fitness,10,35.59888458251953,53
airfoil,best_fitness,11,69.67738342285156,55
airfoil,best_fitness,12,34.74524688720703,49
airfoil,best_fitness,13,63.010093688964844,61
airfoil,best_fitness,14,59.06173324584961,71
airfoil,best_size,0,41.77560806274414,15
airfoil,best_size,1,53.94095993041992,3
airfoil,best_size,2,71.14542388916016,7
airfoil,best_size,3,69.51329803466797,3
airfoil,best_size,4,69.96369171142578,3
airfoil,best_size,5,68.91092681884766,3
airfoil,best_size,6,39.73248291015625,5
airfoil,best_size,7,70.09420013427734,3
airfoil,best_size,8,68.41800689697266,3
airfoil,best_size,9,38.9880485534668,3
airfoil,best_size,10,39.252906799316406,3
airfoil,best_size,11,75.32295989990234,3
airfoil,best_size,12,38.75092697143555,3
airfoil,best_size,13,70.47073364257812,7
airfoil,best_size,14,65.89505004882812,5
airfoil,optimal_compromise,0,40.651214599609375,37
airfoil,optimal_compromise,1,52.46239471435547,27
airfoil,optimal_compromise,2,67.27523803710938,31
airfoil,optimal_compromise,3,66.28675079345703,23
airfoil,optimal_compromise,4,64.06523132324219,33
airfoil,optimal_compromise,5,62.8371467590332,41
airfoil,optimal_compromise,6,36.98866653442383,35
airfoil,optimal_compromise,7,65.21342468261719,35
airfoil,optimal_compromise,8,64.14640045166016,31
airfoil,optimal_compromise,9,36.97016525268555,19
airfoil,optimal_compromise,10,36.42198181152344,33
airfoil,optimal_compromise,11,72.45993041992188,21
airfoil,optimal_compromise,12,36.353309631347656,27
airfoil,optimal_compromise,13,65.68376159667969,41
airfoil,optimal_compromise,14,61.08808517456055,41
bike_sharing,best_fitness,0,1056.03125,45
bike_sharing,best_fitness,1,0.17031586170196533,47
bike_sharing,best_fitness,2,0.036706142127513885,19
bike_sharing,best_fitness,3,0.0023490688763558865,9
bike_sharing,best_fitness,4,0.0,3
bike_sharing,best_fitness,5,0.015589021146297455,27
bike_sharing,best_fitness,6,1083.935791015625,53
bike_sharing,best_fitness,7,996.8123779296875,43
bike_sharing,best_fitness,8,1201.0941162109375,55
bike_sharing,best_fitness,9,1047.686767578125,41
bike_sharing,best_fitness,10,1016.9906005859375,55
bike_sharing,best_fitness,11,1078.428466796875,73
bike_sharing,best_fitness,12,940.41943359375,49
bike_sharing,best_fitness,13,0.0,3
bike_sharing,best_fitness,14,1088.4906005859375,53
bike_sharing,best_size,0,1061.3955078125,3
bike_sharing,best_size,1,2.000305652618408,15
bike_sharing,best_size,2,0.6973531246185303,5
bike_sharing,best_size,3,1.0,5
bike_sharing,best_size,4,0.0,3
bike_sharing,best_size,5,3.0,5
bike_sharing,best_size,6,1090.2222900390625,5
bike_sharing,best_size,7,1002.5695190429688,3
bike_sharing,best_size,8,1206.5206298828125,3
bike_sharing,best_size,9,1052.835205078125,3
bike_sharing,best_size,10,1021.9315795898438,5
bike_sharing,best_size,11,1083.7060546875,31
bike_sharing,best_size,12,945.8657836914062,3
bike_sharing,best_size,13,0.0,3
bike_sharing,best_size,14,1094.01171875,5
bike_sharing,optimal_compromise,0,1057.63623046875,29
bike_sharing,optimal_compromise,1,0.594102680683136,27
bike_sharing,optimal_compromise,2,0.3953971266746521,13
bike_sharing,optimal_compromise,3,1.0,5
bike_sharing,optimal_compromise,4,0.0,3
bike_sharing,optimal_compromise,5,1.2684043645858765,13
bike_sharing,optimal_compromise,6,1086.498291015625,29
