dataset,individual,run,fitness,size
airfoil,best_fitness,0,39.571048736572266,85
airfoil,best_fitness,1,50.23369598388672,55
airfoil,best_fitness,2,63.06605529785156,61
airfoil,best_fitness,3,61.457672119140625,55
airfoil,best_fitness,4,62.07919692993164,61
airfoil,best_fitness,5,61.687076568603516,55
airfoil,best_fitness,6,35.18678665161133,75
airfoil,best_fitness,7,62.112571716308594,59
airfoil,best_fitness,8,60.687950134277344,41
airfoil,best_fitness,9,34.66475296020508,71
airfoil,best_fitness,10,34.955665588378906,51
airfoil,best_fitness,11,67.47418212890625,53
airfoil,best_fitness,12,34.46895980834961,55
airfoil,best_fitness,13,63.16361999511719,61
airfoil,best_fitness,14,58.55294418334961,63
airfoil,best_size,0,40.133949279785156,55
airfoil,best_size,1,50.955467224121094,37
airfoil,best_size,2,65.67536926269531,37
airfoil,best_size,3,64.29155731201172,31
airfoil,best_size,4,62.957313537597656,41
airfoil,best_size,5,64.77437591552734,31
airfoil,best_size,6,36.166412353515625,37
airfoil,best_size,7,64.89408874511719,35
airfoil,best_size,8,63.37493896484375,27
airfoil,best_size,9,36.031951904296875,33
airfoil,best_size,10,36.235008239746094,31
airfoil,best_size,11,69.61822509765625,31
airfoil,best_size,12,36.221309661865234,29
airfoil,best_size,13,64.89910125732422,39
airfoil,best_size,14,60.07542419433594,45
airfoil,optimal_compromise,0,39.771873474121094,71
airfoil,optimal_compromise,1,50.50788497924805,45
airfoil,optimal_compromise,2,63.89978790283203,47
airfoil,optimal_compromise,3,62.52726364135742,39
airfoil,optimal_compromise,4,62.31813430786133,45
airfoil,optimal_compromise,5,63.034706115722656,41
airfoil,optimal_compromise,6,35.747554779052734,53
airfoil,optimal_compromise,7,63.31769561767578,43
airfoil,optimal_compromise,8,61.487159729003906,35
airfoil,optimal_compromise,9,35.15106201171875,45
airfoil,optimal_compromise,10,35.38925552368164,41
airfoil,optimal_compromise,11,68.38770294189453,39
airfoil,optimal_compromise,12,34.926082611083984,41
airfoil,optimal_compromise,13,63.53923034667969,49
airfoil,optimal_compromise,14,59.46381378173828,53
bike_sharing,best_fitness,0,1055.419189453125,57
bike_sharing,best_fitness,1,0.14415735006332397,55
bike_sharing,best_fitness,2,0.02368861623108387,39
bike_sharing,best_fitness,3,0.004794881213456392,23
bike_sharing,best_fitness,4,0.0,3
bike_sharing,best_fitness,5,0.0031849562656134367,31
bike_sharing,best_fitness,6,1083.6209716796875,51
bike_sharing,best_fitness,7,996.9706420898438,49
bike_sharing,best_fitness,8,1200.49609375,43
bike_sharing,best_fitness,9,1046.6678466796875,43
bike_sharing,best_fitness,10,1015.6848754882812,59
bike_sharing,best_fitness,11,1077.6748046875,73
bike_sharing,best_fitness,12,939.6181030273438,51
bike_sharing,best_fitness,13,0.0,3
bike_sharing,best_fitness,14,1087.701416015625,49
bike_sharing,best_size,0,1057.0306396484375,37
bike_sharing,best_size,1,0.7461382150650024,35
bike_sharing,best_size,2,0.6973531246185303,5
bike_sharing,best_size,3,0.9888052940368652,9
bike_sharing,best_size,4,0.0,3
bike_sharing,best_size,5,0.9408292770385742,17
bike_sharing,best_size,6,1085.6817626953125,31
bike_sharing,best_size,7,999.1273193359375,29
bike_sharing,best_size,8,1202.84033203125,29
bike_sharing,best_size,9,1048.5804443359375,29
bike_sharing,best_size,10,1017.1276245117188,39
bike_sharing,best_size,11,1079.728759765625,55
bike_sharing,best_size,12,941.7109375,31
bike_sharing,best_size,13,0.0,3
bike_sharing,best_size,14,1089.91943359375,31
bike_sharing,optimal_compromise,0,1056.132568359375,51
bike_sharing,optimal_compromise,1,0.28206294775009155,37
bike_sharing,optimal_compromise,2,0.07734101265668869,15
bike_sharing,optimal_compromise,3,0.08300931751728058,17
bike_sharing,optimal_compromise,4,0.0,3
bike_sharing,optimal_compromise,5,0.010272147133946419,25
bike_sharing,optimal_compromise,6,1084.436767578125,39
bike_sharing,optimal_compromise,7,997.7040405273438,39
bike_sharing,optimal_compromise,8,1201.830078125,35
bike_sharing,optimal_compromise,9,1047.7740478515625,33
bike_sharing,optimal_compromise,10,1016.0762329101562,49
bike_sharing,optimal_compromise,11,1078.3707275390625,65
bike_sharing,optimal_compromise,12,940.5040893554688,39
bike_sharing,optimal_compromise,13,0.0,3
bike_sharing,optimal_compromise,14,1088.44287109375,41
bioavailability,best_fitness,0,53.71504592895508,67
bioavailability,best_fitness,1,59.48316955566406,39
bioavailability,best_fitness,2,45.297664642333984,43
bioavailability,best_fitness,3,45.07881546020508,39
bioavailability,best_fitness,4,50.393218994140625,43
bioavailability,best_fitness,5,45.413169860839844,39
bioavailability,best_fitness,6,44.81120300292969,41
bioavailability,best_fitness,7,47.147377014160156,53
bioavailability,best_fitness,8,40.89128875732422,67
bioavailability,best_fitness,9,52.205650329589844,39
bioavailability,best_fitness,10,55.162559509277344,39
bioavailability,best_fitness,11,54.5394172668457,71
bioavailability,best_fitness,12,48.42620849609375,101
bioavailability,best_fitness,13,42.382869720458984,39
